Project,Commits,Authors,Repositories
"modeling.mdt.bpmn2",13,1,1
"technology.epf",13,2,2
"modeling.mdt.xsd",12,1,1
"tools.buckminster",10,1,1
"datatools.sqltools",9,5,1
"datatools.connectivity",7,2,1
"mylyn.incubator",7,2,1
"modeling.emft.b3",6,2,1
"modeling.emft.emfatic",6,1,1
"datatools.modelbase",5,2,1
"technology.dash.dashboard",5,1,1
"modeling.eatop",4,1,1
"tools.damos",4,1,1
"ecd.flux",3,2,1
"iot.unide",3,1,1
"tools.mtj",3,1,1
"modeling.upr",2,1,1
"iot.krikkit",1,1,1
