project,url,label,activity,comments,prs,commits,issues,authors
AMP Project,ampproject.org,2016-11,2290,1513,283,270,224,64
AMP Project,ampproject.org,2016-12,1778,1158,240,207,173,64
AMP Project,ampproject.org,2017-01,1940,1314,206,227,193,64
AMP Project,ampproject.org,2017-02,2346,1624,257,223,242,64
AMP Project,ampproject.org,2017-03,3300,1838,504,619,339,81
Cockroach DB,cockroachlabs.com,2016-01,1241,712,153,295,81,24
Cockroach DB,cockroachlabs.com,2016-02,1687,1048,224,291,124,24
Cockroach DB,cockroachlabs.com,2016-03,2591,1607,310,362,312,25
Cockroach DB,cockroachlabs.com,2016-04,1923,1332,204,220,167,25
Cockroach DB,cockroachlabs.com,2016-05,2269,1391,278,367,233,44
Cockroach DB,cockroachlabs.com,2016-06,1709,1163,194,217,135,44
Cockroach DB,cockroachlabs.com,2016-07,1569,1083,163,181,142,44
Cockroach DB,cockroachlabs.com,2016-08,1977,1282,203,230,262,44
Cockroach DB,cockroachlabs.com,2016-09,1651,1109,176,204,162,44
Cockroach DB,cockroachlabs.com,2016-10,1918,1328,164,193,233,44
Cockroach DB,cockroachlabs.com,2016-11,2783,1398,194,246,945,44
Cockroach DB,cockroachlabs.com,2016-12,2312,1292,212,270,538,44
Cockroach DB,cockroachlabs.com,2017-01,1625,905,157,176,387,44
Cockroach DB,cockroachlabs.com,2017-02,1842,1316,184,214,128,44
Cockroach DB,cockroachlabs.com,2017-03,2495,1751,257,314,173,44
Ruby on Rails,rubyonrails.org,2016-01,2305,1589,326,203,187,69
Ruby on Rails,rubyonrails.org,2016-02,2701,1860,377,256,208,82
Ruby on Rails,rubyonrails.org,2016-03,1920,1322,287,162,149,82
Ruby on Rails,rubyonrails.org,2016-04,1841,1328,252,148,113,82
Ruby on Rails,rubyonrails.org,2016-05,2198,1546,249,260,143,85
Ruby on Rails,rubyonrails.org,2016-06,1885,1271,275,203,136,85
Ruby on Rails,rubyonrails.org,2016-07,1829,1275,256,156,142,85
Ruby on Rails,rubyonrails.org,2016-08,1821,1268,219,204,130,85
Ruby on Rails,rubyonrails.org,2016-09,1606,1090,214,177,125,85
Ruby on Rails,rubyonrails.org,2016-10,1569,1079,178,215,97,85
Ruby on Rails,rubyonrails.org,2016-11,1783,1206,182,280,115,85
Ruby on Rails,rubyonrails.org,2016-12,1841,1218,228,276,119,85
Ruby on Rails,rubyonrails.org,2017-01,1881,1191,230,349,111,85
Ruby on Rails,rubyonrails.org,2017-02,1958,1311,283,222,142,85
Ruby on Rails,rubyonrails.org,2017-03,2175,1417,243,349,166,85
GRPC,grpc.io,2016-01,1387,757,259,213,158,33
GRPC,grpc.io,2016-02,2257,1382,364,301,210,41
GRPC,grpc.io,2016-03,2692,1890,314,197,291,45
GRPC,grpc.io,2016-04,2118,1537,258,151,172,45
GRPC,grpc.io,2016-05,2109,1548,265,124,172,45
GRPC,grpc.io,2016-06,1746,1322,249,34,141,45
GRPC,grpc.io,2016-07,2696,1889,379,272,156,45
GRPC,grpc.io,2016-08,2206,1507,299,254,146,57
GRPC,grpc.io,2016-09,1465,1007,188,143,127,57
GRPC,grpc.io,2016-10,1395,881,207,178,129,57
GRPC,grpc.io,2016-11,1387,907,201,143,136,57
GRPC,grpc.io,2016-12,1571,995,214,182,180,57
GRPC,grpc.io,2017-01,2065,1398,259,226,182,57
GRPC,grpc.io,2017-02,1667,1085,243,187,152,57
GRPC,grpc.io,2017-03,2123,1361,314,257,191,57
InfluxData,influxdata.com,2016-01,1728,1124,123,309,172,37
InfluxData,influxdata.com,2016-02,2266,1403,175,442,246,57
InfluxData,influxdata.com,2016-03,2172,1388,128,463,193,57
InfluxData,influxdata.com,2016-04,1559,1041,102,247,169,57
InfluxData,influxdata.com,2016-05,1963,1104,162,491,206,57
InfluxData,influxdata.com,2016-06,2186,1358,184,391,253,57
InfluxData,influxdata.com,2016-07,1651,996,134,358,163,57
InfluxData,influxdata.com,2016-08,2012,1223,189,358,242,68
InfluxData,influxdata.com,2016-09,1939,1100,173,444,222,68
InfluxData,influxdata.com,2016-10,1885,1018,176,462,229,68
InfluxData,influxdata.com,2016-11,1718,930,135,468,185,68
InfluxData,influxdata.com,2016-12,1525,717,137,509,162,68
InfluxData,influxdata.com,2017-01,1157,562,124,322,149,68
InfluxData,influxdata.com,2017-02,1959,1031,169,525,234,68
InfluxData,influxdata.com,2017-03,2653,1366,206,766,315,68
Keybase,keybase.io,2016-01,1407,476,186,730,15,13
Keybase,keybase.io,2016-02,1884,966,172,622,124,14
Keybase,keybase.io,2016-03,1868,860,220,702,86,17
Keybase,keybase.io,2016-04,1436,695,171,506,64,17
Keybase,keybase.io,2016-05,1463,722,159,543,39,34
Keybase,keybase.io,2016-06,2522,1059,279,1099,85,34
Keybase,keybase.io,2016-07,2094,926,229,802,137,34
Keybase,keybase.io,2016-08,2235,1081,218,774,162,34
Keybase,keybase.io,2016-09,2149,1002,232,799,116,34
Keybase,keybase.io,2016-10,1506,577,179,674,76,34
Keybase,keybase.io,2016-11,1627,684,161,722,60,34
Keybase,keybase.io,2016-12,1613,592,189,766,66,34
Keybase,keybase.io,2017-01,2128,787,298,962,81,34
Keybase,keybase.io,2017-02,2141,993,227,713,208,34
Keybase,keybase.io,2017-03,2188,872,274,943,99,34
Mantid,mantidproject.org,2016-01,1281,372,137,621,151,31
Mantid,mantidproject.org,2016-02,2246,872,186,1013,175,34
Mantid,mantidproject.org,2016-03,1846,562,140,971,173,34
Mantid,mantidproject.org,2016-04,1373,459,122,678,114,36
Mantid,mantidproject.org,2016-05,2555,1063,234,999,259,56
Mantid,mantidproject.org,2016-06,1703,581,152,839,131,56
Mantid,mantidproject.org,2016-07,1988,657,150,1014,167,56
Mantid,mantidproject.org,2016-08,1972,566,172,1107,127,56
Mantid,mantidproject.org,2016-09,2048,768,144,975,161,56
Mantid,mantidproject.org,2016-10,1736,522,129,952,133,56
Mantid,mantidproject.org,2016-11,1430,367,101,828,134,56
Mantid,mantidproject.org,2016-12,1260,373,97,687,103,56
Mantid,mantidproject.org,2017-01,1963,719,144,925,175,56
Mantid,mantidproject.org,2017-02,2166,715,209,1074,168,56
Mantid,mantidproject.org,2017-03,1617,468,130,889,130,56
Atom,atom.io,2016-01,3189,2222,172,251,544,44
Atom,atom.io,2016-02,3324,2278,175,341,530,48
Atom,atom.io,2016-03,3425,2404,168,385,468,52
Atom,atom.io,2016-04,2173,1618,69,231,255,52
Atom,atom.io,2016-05,1396,1060,42,127,167,52
Atom,atom.io,2016-06,1222,914,38,100,170,52
Atom,atom.io,2016-07,1259,824,41,235,159,52
Atom,atom.io,2016-08,1837,1088,72,458,219,52
Atom,atom.io,2016-09,1395,974,76,161,184,52
Atom,atom.io,2016-10,1354,829,80,253,192,52
Atom,atom.io,2016-11,1532,1041,44,246,201,52
Atom,atom.io,2016-12,977,682,40,134,121,52
Atom,atom.io,2017-01,1243,900,43,152,148,52
Atom,atom.io,2017-02,1130,763,36,187,144,52
Atom,atom.io,2017-03,1464,958,48,306,152,52
DefinitelyTyped,definitelytyped.org,2016-01,1474,774,411,207,82,143
DefinitelyTyped,definitelytyped.org,2016-02,1572,849,361,281,81,196
DefinitelyTyped,definitelytyped.org,2016-03,1597,777,418,333,69,220
DefinitelyTyped,definitelytyped.org,2016-04,1299,674,325,247,53,220
DefinitelyTyped,definitelytyped.org,2016-05,1163,583,313,214,53,220
DefinitelyTyped,definitelytyped.org,2016-06,1278,667,338,213,60,220
DefinitelyTyped,definitelytyped.org,2016-07,1341,739,380,132,90,220
DefinitelyTyped,definitelytyped.org,2016-08,1899,961,460,384,94,245
DefinitelyTyped,definitelytyped.org,2016-09,2200,1269,579,231,121,245
DefinitelyTyped,definitelytyped.org,2016-10,1988,1106,627,148,107,245
DefinitelyTyped,definitelytyped.org,2016-11,2825,1626,510,567,122,326
DefinitelyTyped,definitelytyped.org,2016-12,1774,1065,462,165,82,326
DefinitelyTyped,definitelytyped.org,2017-01,1988,1174,530,172,112,326
DefinitelyTyped,definitelytyped.org,2017-02,2002,1149,455,288,110,326
DefinitelyTyped,definitelytyped.org,2017-03,2369,1464,434,361,110,326
Homebrew Cask,caskroom.github.io,2016-01,1677,734,625,234,84,82
Homebrew Cask,caskroom.github.io,2016-02,788,297,413,15,63,82
Homebrew Cask,caskroom.github.io,2016-03,1092,448,434,128,82,82
Homebrew Cask,caskroom.github.io,2016-04,1475,421,622,382,50,130
Homebrew Cask,caskroom.github.io,2016-05,1574,455,633,432,54,175
Homebrew Cask,caskroom.github.io,2016-06,1688,608,603,369,108,175
Homebrew Cask,caskroom.github.io,2016-07,1349,376,556,369,48,175
Homebrew Cask,caskroom.github.io,2016-08,2010,540,750,621,99,188
Homebrew Cask,caskroom.github.io,2016-09,1883,515,778,515,75,190
Homebrew Cask,caskroom.github.io,2016-10,2354,456,926,614,358,209
Homebrew Cask,caskroom.github.io,2016-11,1866,441,903,453,69,209
Homebrew Cask,caskroom.github.io,2016-12,2878,627,1096,1093,62,209
Homebrew Cask,caskroom.github.io,2017-01,1626,317,972,269,68,209
Homebrew Cask,caskroom.github.io,2017-02,1753,468,693,538,54,209
Homebrew Cask,caskroom.github.io,2017-03,2687,607,1126,871,83,209
WordPress-mobile,make.wordpress.org/mobile,2016-01,1633,579,160,768,126,25
WordPress-mobile,make.wordpress.org/mobile,2016-02,2018,941,161,790,126,29
WordPress-mobile,make.wordpress.org/mobile,2016-03,1852,725,176,843,108,29
WordPress-mobile,make.wordpress.org/mobile,2016-04,1966,757,172,884,153,31
WordPress-mobile,make.wordpress.org/mobile,2016-05,2289,879,221,1058,131,42
WordPress-mobile,make.wordpress.org/mobile,2016-06,2146,833,208,954,151,42
WordPress-mobile,make.wordpress.org/mobile,2016-07,1574,620,148,658,148,42
WordPress-mobile,make.wordpress.org/mobile,2016-08,1185,501,101,490,93,42
WordPress-mobile,make.wordpress.org/mobile,2016-09,748,291,80,299,78,42
WordPress-mobile,make.wordpress.org/mobile,2016-10,1367,577,112,538,140,42
WordPress-mobile,make.wordpress.org/mobile,2016-11,1466,694,136,537,99,42
WordPress-mobile,make.wordpress.org/mobile,2016-12,625,303,63,205,54,42
WordPress-mobile,make.wordpress.org/mobile,2017-01,1453,716,146,442,149,42
WordPress-mobile,make.wordpress.org/mobile,2017-02,2073,837,225,761,250,42
WordPress-mobile,make.wordpress.org/mobile,2017-03,2084,842,234,809,199,42
TrinityCore,trinitycore.org,2016-01,2048,1516,76,219,237,35
TrinityCore,trinitycore.org,2016-02,1978,1448,82,261,187,35
TrinityCore,trinitycore.org,2016-03,1565,1066,64,309,126,40
TrinityCore,trinitycore.org,2016-04,1563,987,50,392,134,44
TrinityCore,trinitycore.org,2016-05,1603,1139,47,259,158,44
TrinityCore,trinitycore.org,2016-06,1576,1173,57,178,168,44
TrinityCore,trinitycore.org,2016-07,1666,1118,93,314,141,45
TrinityCore,trinitycore.org,2016-08,1487,938,76,358,115,45
TrinityCore,trinitycore.org,2016-09,1376,841,45,384,106,45
TrinityCore,trinitycore.org,2016-10,1534,977,35,392,130,45
TrinityCore,trinitycore.org,2016-11,1433,1034,52,199,148,45
TrinityCore,trinitycore.org,2016-12,1831,1303,67,253,208,45
TrinityCore,trinitycore.org,2017-01,1705,1175,63,342,125,45
TrinityCore,trinitycore.org,2017-02,1627,1147,74,273,133,45
TrinityCore,trinitycore.org,2017-03,1424,1014,59,234,117,45
fastlane,fastlane.tools,2016-01,791,532,111,57,91,20
fastlane,fastlane.tools,2016-02,736,498,73,49,116,20
fastlane,fastlane.tools,2016-03,1655,1209,156,69,221,20
fastlane,fastlane.tools,2016-04,1760,1274,121,139,226,30
fastlane,fastlane.tools,2016-05,2149,1553,147,189,260,35
fastlane,fastlane.tools,2016-06,1723,1302,102,127,192,35
fastlane,fastlane.tools,2016-07,1534,1116,126,141,151,39
fastlane,fastlane.tools,2016-08,1769,1324,121,127,197,39
fastlane,fastlane.tools,2016-09,1415,1044,89,56,226,39
fastlane,fastlane.tools,2016-10,1692,1326,102,67,197,39
fastlane,fastlane.tools,2016-11,2102,1451,182,248,221,55
fastlane,fastlane.tools,2016-12,1475,1005,110,149,211,55
fastlane,fastlane.tools,2017-01,1576,1116,127,146,187,55
fastlane,fastlane.tools,2017-02,1937,1383,142,222,190,55
fastlane,fastlane.tools,2017-03,1362,986,101,85,190,55
Odoo,odoo.com,2016-01,1690,788,293,435,174,71
Odoo,odoo.com,2016-02,1668,781,299,414,174,71
Odoo,odoo.com,2016-03,1547,678,303,441,125,80
Odoo,odoo.com,2016-04,1182,485,220,386,91,80
Odoo,odoo.com,2016-05,1457,638,292,428,99,94
Odoo,odoo.com,2016-06,1932,1082,281,440,129,94
Odoo,odoo.com,2016-07,1430,743,233,364,90,94
Odoo,odoo.com,2016-08,1698,836,285,463,114,94
Odoo,odoo.com,2016-09,1401,619,187,475,120,94
Odoo,odoo.com,2016-10,1681,887,253,359,182,94
Odoo,odoo.com,2016-11,1785,952,293,372,168,94
Odoo,odoo.com,2016-12,1291,662,238,276,115,94
Odoo,odoo.com,2017-01,1572,763,271,410,128,94
Odoo,odoo.com,2017-02,1435,731,266,320,118,94
Odoo,odoo.com,2017-03,1497,669,309,384,135,94
Cataclysm-DDA,en.cataclysmdda.com,2016-01,2139,1566,291,165,117,29
Cataclysm-DDA,en.cataclysmdda.com,2016-02,1698,1251,197,122,128,29
Cataclysm-DDA,en.cataclysmdda.com,2016-03,1483,998,199,154,132,31
Cataclysm-DDA,en.cataclysmdda.com,2016-04,1453,977,243,82,151,31
Cataclysm-DDA,en.cataclysmdda.com,2016-05,1999,1397,277,139,186,43
Cataclysm-DDA,en.cataclysmdda.com,2016-06,1422,988,205,99,130,43
Cataclysm-DDA,en.cataclysmdda.com,2016-07,1293,920,159,66,148,43
Cataclysm-DDA,en.cataclysmdda.com,2016-08,1145,743,162,111,129,43
Cataclysm-DDA,en.cataclysmdda.com,2016-09,1657,1266,181,68,142,43
Cataclysm-DDA,en.cataclysmdda.com,2016-10,1455,1082,144,75,154,43
Cataclysm-DDA,en.cataclysmdda.com,2016-11,1958,1558,176,34,190,43
Cataclysm-DDA,en.cataclysmdda.com,2016-12,1771,1343,156,100,172,43
Cataclysm-DDA,en.cataclysmdda.com,2017-01,1347,988,146,105,108,43
Cataclysm-DDA,en.cataclysmdda.com,2017-02,1231,880,141,104,106,43
Cataclysm-DDA,en.cataclysmdda.com,2017-03,998,726,120,33,119,43
RocketChat,rocket.chat,2016-01,1748,1194,79,235,240,27
RocketChat,rocket.chat,2016-02,1310,911,60,109,230,27
RocketChat,rocket.chat,2016-03,1458,915,93,218,232,27
RocketChat,rocket.chat,2016-04,1790,1072,119,349,250,36
RocketChat,rocket.chat,2016-05,1495,901,95,244,255,47
RocketChat,rocket.chat,2016-06,1236,791,65,187,193,47
RocketChat,rocket.chat,2016-07,896,527,71,147,151,47
RocketChat,rocket.chat,2016-08,1374,856,92,235,191,47
RocketChat,rocket.chat,2016-09,1785,1000,124,442,219,47
RocketChat,rocket.chat,2016-10,1313,804,112,214,183,47
RocketChat,rocket.chat,2016-11,1272,771,75,231,195,47
RocketChat,rocket.chat,2016-12,1622,884,114,426,198,47
RocketChat,rocket.chat,2017-01,1839,1156,160,227,296,47
RocketChat,rocket.chat,2017-02,1375,821,111,211,232,47
RocketChat,rocket.chat,2017-03,1650,971,133,316,230,47
Automattic Jetpack,jetpack.com,2016-01,817,402,94,263,58,30
Automattic Jetpack,jetpack.com,2016-02,623,297,77,202,47,30
Automattic Jetpack,jetpack.com,2016-03,859,314,99,394,52,35
Automattic Jetpack,jetpack.com,2016-04,896,335,83,428,50,35
Automattic Jetpack,jetpack.com,2016-05,1666,657,179,707,123,42
Automattic Jetpack,jetpack.com,2016-06,1395,605,141,578,71,42
Automattic Jetpack,jetpack.com,2016-07,1953,733,220,867,133,42
Automattic Jetpack,jetpack.com,2016-08,2241,883,311,917,130,42
Automattic Jetpack,jetpack.com,2016-09,844,367,100,290,87,42
Automattic Jetpack,jetpack.com,2016-10,1224,490,138,506,90,42
Automattic Jetpack,jetpack.com,2016-11,2135,921,198,885,131,55
Automattic Jetpack,jetpack.com,2016-12,1520,559,157,716,88,55
Automattic Jetpack,jetpack.com,2017-01,1593,843,111,526,113,55
Automattic Jetpack,jetpack.com,2017-02,1855,966,195,590,104,66
Automattic Jetpack,jetpack.com,2017-03,2116,1116,198,672,130,66
OpenShift,openshift.com,2016-01,1377,784,266,267,60,63
OpenShift,openshift.com,2016-02,1650,1020,275,281,74,72
OpenShift,openshift.com,2016-03,1721,1122,269,281,49,72
OpenShift,openshift.com,2016-04,1282,883,179,163,57,72
OpenShift,openshift.com,2016-05,1589,1033,247,256,53,72
OpenShift,openshift.com,2016-06,792,571,96,79,46,72
OpenShift,openshift.com,2016-07,1502,1019,217,213,53,72
OpenShift,openshift.com,2016-08,1734,1143,272,266,53,72
OpenShift,openshift.com,2016-09,1526,914,285,277,50,72
OpenShift,openshift.com,2016-10,1405,871,254,226,54,72
OpenShift,openshift.com,2016-11,902,532,144,170,56,72
OpenShift,openshift.com,2016-12,639,406,111,108,14,72
OpenShift,openshift.com,2017-01,2223,1335,406,401,81,80
OpenShift,openshift.com,2017-02,1136,836,184,61,55,80
OpenShift,openshift.com,2017-03,2176,1515,380,220,61,80
NativeScript,nativescript.org,2016-01,885,604,51,120,110,14
NativeScript,nativescript.org,2016-02,1104,707,71,187,139,20
NativeScript,nativescript.org,2016-03,1664,949,143,407,165,55
NativeScript,nativescript.org,2016-04,1199,622,95,364,118,55
NativeScript,nativescript.org,2016-05,1473,780,149,377,167,62
NativeScript,nativescript.org,2016-06,2364,1390,205,593,176,66
NativeScript,nativescript.org,2016-07,1483,883,124,324,152,66
NativeScript,nativescript.org,2016-08,1031,695,57,153,126,66
NativeScript,nativescript.org,2016-09,1326,880,85,193,168,66
NativeScript,nativescript.org,2016-10,991,660,77,150,104,66
NativeScript,nativescript.org,2016-11,1745,1003,147,356,239,69
NativeScript,nativescript.org,2016-12,1442,842,133,297,170,69
NativeScript,nativescript.org,2017-01,1148,574,133,325,116,69
NativeScript,nativescript.org,2017-02,1489,954,110,232,193,69
NativeScript,nativescript.org,2017-03,1482,824,138,351,169,69
Broad Institute,broadinstitute.org,2016-01,471,248,43,163,17,15
Broad Institute,broadinstitute.org,2016-02,961,432,75,406,48,25
Broad Institute,broadinstitute.org,2016-03,1939,913,136,719,171,25
Broad Institute,broadinstitute.org,2016-04,1196,542,78,464,112,25
Broad Institute,broadinstitute.org,2016-05,1891,757,116,880,138,63
Broad Institute,broadinstitute.org,2016-06,2814,1248,195,1164,207,63
Broad Institute,broadinstitute.org,2016-07,1647,733,106,667,141,63
Broad Institute,broadinstitute.org,2016-08,2025,886,210,726,203,63
Broad Institute,broadinstitute.org,2016-09,1194,494,90,496,114,63
Broad Institute,broadinstitute.org,2016-10,1100,539,63,356,142,63
Broad Institute,broadinstitute.org,2016-11,827,405,72,289,61,63
Broad Institute,broadinstitute.org,2016-12,1099,560,81,381,77,63
Broad Institute,broadinstitute.org,2017-01,379,216,32,113,18,63
Broad Institute,broadinstitute.org,2017-02,1002,561,63,279,99,63
Broad Institute,broadinstitute.org,2017-03,1486,757,97,510,122,63
Mattermost,mattermost.org,2016-01,1157,682,159,231,85,22
Mattermost,mattermost.org,2016-02,1430,875,192,281,82,22
Mattermost,mattermost.org,2016-03,1750,1112,227,301,110,22
Mattermost,mattermost.org,2016-04,1195,674,172,283,66,22
Mattermost,mattermost.org,2016-05,1808,1068,311,364,65,36
Mattermost,mattermost.org,2016-06,1415,764,232,381,38,36
Mattermost,mattermost.org,2016-07,1276,708,207,321,40,36
Mattermost,mattermost.org,2016-08,1658,801,257,560,40,38
Mattermost,mattermost.org,2016-09,994,505,155,288,46,38
Mattermost,mattermost.org,2016-10,840,415,166,192,67,38
Mattermost,mattermost.org,2016-11,1004,426,220,296,62,38
Mattermost,mattermost.org,2016-12,1026,570,168,219,69,38
Mattermost,mattermost.org,2017-01,1350,520,272,460,98,42
Mattermost,mattermost.org,2017-02,1449,549,287,491,122,46
Mattermost,mattermost.org,2017-03,1331,547,299,438,47,46
eslint,eslint.org,2016-01,1307,970,100,81,156,23
eslint,eslint.org,2016-02,1763,1391,122,80,170,23
eslint,eslint.org,2016-03,1463,1099,116,69,179,23
eslint,eslint.org,2016-04,1763,1387,117,125,134,32
eslint,eslint.org,2016-05,1594,1224,90,140,140,32
eslint,eslint.org,2016-06,1405,1100,88,77,140,32
eslint,eslint.org,2016-07,1338,1039,75,94,130,34
eslint,eslint.org,2016-08,1454,1133,71,129,121,34
eslint,eslint.org,2016-09,1141,881,103,57,100,34
eslint,eslint.org,2016-10,1286,936,50,183,117,34
eslint,eslint.org,2016-11,1046,819,38,93,96,34
eslint,eslint.org,2016-12,870,702,35,57,76,34
eslint,eslint.org,2017-01,1198,915,64,118,101,34
eslint,eslint.org,2017-02,1059,744,74,152,89,34
eslint,eslint.org,2017-03,869,627,54,98,90,34
The Void distribution,voidlinux.eu,2016-01,1216,294,202,679,41,45
The Void distribution,voidlinux.eu,2016-02,1309,319,205,749,36,45
The Void distribution,voidlinux.eu,2016-03,1648,674,158,748,68,45
The Void distribution,voidlinux.eu,2016-04,1346,394,124,786,42,45
The Void distribution,voidlinux.eu,2016-05,1271,371,98,740,62,55
The Void distribution,voidlinux.eu,2016-06,970,341,89,479,61,55
The Void distribution,voidlinux.eu,2016-07,819,257,108,427,27,55
The Void distribution,voidlinux.eu,2016-08,1050,327,111,565,47,55
The Void distribution,voidlinux.eu,2016-09,1390,494,112,730,54,55
The Void distribution,voidlinux.eu,2016-10,1748,559,172,957,60,55
The Void distribution,voidlinux.eu,2016-11,1137,356,131,620,30,55
The Void distribution,voidlinux.eu,2016-12,1143,311,137,646,49,55
The Void distribution,voidlinux.eu,2017-01,1226,347,161,678,40,59
The Void distribution,voidlinux.eu,2017-02,1077,377,151,497,52,59
The Void distribution,voidlinux.eu,2017-03,1141,373,154,566,48,59
PX4,"",2016-01,884,604,109,87,84,13
PX4,"",2016-02,1384,941,117,218,108,17
PX4,"",2016-03,1319,897,116,204,102,20
PX4,"",2016-04,1382,900,175,216,91,20
PX4,"",2016-05,1553,987,166,289,111,30
PX4,"",2016-06,1107,716,112,191,88,30
PX4,"",2016-07,1029,686,93,173,77,30
PX4,"",2016-08,1205,734,131,256,84,30
PX4,"",2016-09,1011,608,98,244,61,30
PX4,"",2016-10,1236,850,101,187,98,30
PX4,"",2016-11,1035,761,95,132,47,31
PX4,"",2016-12,1366,872,133,272,89,31
PX4,"",2017-01,1145,764,102,197,82,31
PX4,"",2017-02,1258,787,138,258,75,32
PX4,"",2017-03,1541,1061,126,221,133,32
Baystation12,baystation12.net,2016-01,910,511,159,148,92,25
Baystation12,baystation12.net,2016-02,869,451,171,183,64,29
Baystation12,baystation12.net,2016-03,714,378,133,121,82,29
Baystation12,baystation12.net,2016-04,1129,686,194,169,80,37
Baystation12,baystation12.net,2016-05,1149,661,188,201,99,44
Baystation12,baystation12.net,2016-06,1352,885,168,173,126,44
Baystation12,baystation12.net,2016-07,1505,991,216,184,114,44
Baystation12,baystation12.net,2016-08,941,585,149,127,80,44
Baystation12,baystation12.net,2016-09,1019,585,186,167,81,44
Baystation12,baystation12.net,2016-10,712,435,131,113,33,44
Baystation12,baystation12.net,2016-11,798,477,149,122,50,44
Baystation12,baystation12.net,2016-12,1401,922,202,159,118,44
Baystation12,baystation12.net,2017-01,2077,1391,293,256,137,44
Baystation12,baystation12.net,2017-02,1873,1216,290,235,132,44
Baystation12,baystation12.net,2017-03,1383,986,186,147,64,44
Airbnb,airbnb.io,2016-01,817,449,113,181,74,51
Airbnb,airbnb.io,2016-02,1136,716,124,177,119,51
Airbnb,airbnb.io,2016-03,1218,747,147,219,105,60
Airbnb,airbnb.io,2016-04,1040,694,134,93,119,60
Airbnb,airbnb.io,2016-05,812,513,86,102,111,60
Airbnb,airbnb.io,2016-06,1060,651,109,186,114,60
Airbnb,airbnb.io,2016-07,764,450,72,109,133,60
Airbnb,airbnb.io,2016-08,1097,625,111,236,125,60
Airbnb,airbnb.io,2016-09,1513,962,133,255,163,60
Airbnb,airbnb.io,2016-10,1526,966,158,175,227,60
Airbnb,airbnb.io,2016-11,1363,840,129,219,175,60
Airbnb,airbnb.io,2016-12,620,348,81,107,84,60
Airbnb,airbnb.io,2017-01,756,426,83,143,104,60
Airbnb,airbnb.io,2017-02,2380,1317,226,479,358,77
Airbnb,airbnb.io,2017-03,1430,880,131,200,219,77
MAPS.ME,maps.me,2016-01,1899,938,484,450,27,21
MAPS.ME,maps.me,2016-02,1405,755,309,318,23,22
MAPS.ME,maps.me,2016-03,1962,839,575,530,18,22
MAPS.ME,maps.me,2016-04,1513,781,357,335,40,22
MAPS.ME,maps.me,2016-05,1140,551,281,264,44,36
MAPS.ME,maps.me,2016-06,1356,781,280,258,37,36
MAPS.ME,maps.me,2016-07,803,455,156,149,43,36
MAPS.ME,maps.me,2016-08,1091,601,228,206,56,36
MAPS.ME,maps.me,2016-09,856,471,171,159,55,36
MAPS.ME,maps.me,2016-10,810,468,165,151,26,36
MAPS.ME,maps.me,2016-11,999,575,199,201,24,36
MAPS.ME,maps.me,2016-12,1298,739,253,281,25,36
MAPS.ME,maps.me,2017-01,781,410,170,172,29,36
MAPS.ME,maps.me,2017-02,664,362,136,136,30,36
MAPS.ME,maps.me,2017-03,777,316,216,217,28,36
flutter,"",2016-01,652,382,74,80,116,12
flutter,"",2016-02,707,403,80,79,145,15
flutter,"",2016-03,1186,701,124,120,241,23
flutter,"",2016-04,825,479,92,91,163,23
flutter,"",2016-05,920,513,117,111,179,23
flutter,"",2016-06,1158,703,129,117,209,23
flutter,"",2016-07,1073,628,89,124,232,23
flutter,"",2016-08,1029,599,161,148,121,23
flutter,"",2016-09,1130,712,128,123,167,23
flutter,"",2016-10,1074,656,128,115,175,23
flutter,"",2016-11,1390,900,149,126,215,23
flutter,"",2016-12,735,496,70,60,109,23
flutter,"",2017-01,1059,694,120,106,139,23
flutter,"",2017-02,1535,958,188,146,243,23
flutter,"",2017-03,1781,1025,276,254,226,23
Chef,chef.io/chef,2016-01,1491,621,167,637,66,59
Chef,chef.io/chef,2016-02,1378,744,131,427,76,62
Chef,chef.io/chef,2016-03,753,453,70,193,37,62
Chef,chef.io/chef,2016-04,1681,654,139,804,84,62
Chef,chef.io/chef,2016-05,1515,722,149,569,75,66
Chef,chef.io/chef,2016-06,512,282,44,153,33,66
Chef,chef.io/chef,2016-07,447,225,38,151,33,66
Chef,chef.io/chef,2016-08,1139,489,115,449,86,66
Chef,chef.io/chef,2016-09,1553,654,183,618,98,66
Chef,chef.io/chef,2016-10,786,356,91,277,62,66
Chef,chef.io/chef,2016-11,1057,528,99,354,76,66
Chef,chef.io/chef,2016-12,1068,490,129,383,66,66
Chef,chef.io/chef,2017-01,810,423,78,237,72,66
Chef,chef.io/chef,2017-02,469,211,46,182,30,66
Chef,chef.io/chef,2017-03,1194,509,157,453,75,66
RIOT-OS,"",2016-01,1216,989,119,74,34,17
RIOT-OS,"",2016-02,1146,991,86,50,19,17
RIOT-OS,"",2016-03,1205,1083,64,38,20,17
RIOT-OS,"",2016-04,1083,889,95,76,23,24
RIOT-OS,"",2016-05,943,798,65,56,24,26
RIOT-OS,"",2016-06,1033,874,78,48,33,26
RIOT-OS,"",2016-07,1122,986,80,38,18,26
RIOT-OS,"",2016-08,697,603,46,26,22,26
RIOT-OS,"",2016-09,846,704,79,47,16,26
RIOT-OS,"",2016-10,1041,886,81,53,21,26
RIOT-OS,"",2016-11,881,747,82,33,19,26
RIOT-OS,"",2016-12,847,692,88,48,19,26
RIOT-OS,"",2017-01,1303,1103,115,52,33,26
