org,repo,activity,comments,prs,commits,issues,authors,project,url
greenplum-db,gpdb,784,483,108,172,21,39,greenplum-db,""
dash-project,dash,774,334,73,298,69,15,dash-project,""
mautic,mautic,772,518,65,89,100,18,mautic,""
crystal-lang,crystal,764,559,61,80,64,19,crystal-lang,""
Microsoft,WinObjC,763,454,107,114,88,22,Microsoft Objective-C for Windows,github.com/Microsoft/WinObjC
zooniverse,Panoptes-Front-End,760,424,65,209,62,22,zooniverse,""
Microsoft,pxt,759,252,102,302,103,11,Microsoft MakeCode,makecode.com
PCSX2,pcsx2,750,627,23,87,13,14,PCSX2,""
ONSdigital,eq-survey-runner,744,77,53,596,18,11,ONSdigital,""
MinecraftForge,MinecraftForge,741,563,53,63,62,21,MinecraftForge,""
piwik,piwik,733,385,52,236,60,11,piwik,""
SeleniumHQ,selenium,733,502,32,77,122,23,SeleniumHQ,""
Microsoft,UWPCommunityToolkit,730,597,46,30,57,15,Microsoft,""
HTBox,allReady,726,492,68,63,103,29,HTBox,""
containous,traefik,725,543,45,44,93,17,containous,""
bigchaindb,bigchaindb,719,367,67,233,52,15,bigchaindb,""
the-control-group,voyager,718,458,76,68,116,24,the-control-group,""
projectcalico,calico-containers+calico,716,326,139,165,86,24,projectcalico,""
zestedesavoir,zds-site,711,557,55,65,34,21,zestedesavoir,""
easydigitaldownloads,easy-digital-downloads,710,443,56,128,83,17,easydigitaldownloads,""
mpv-player,mpv,709,549,25,58,77,15,mpv-player,""
fish-shell,fish-shell,707,561,25,63,58,12,fish-shell,""
openhab,openhab,695,544,59,42,50,24,openhab,""
almende,vis,689,503,53,45,88,18,almende,""
neo4j,neo4j,688,234,163,271,20,30,neo4j,""
hashicorp,nomad,686,345,80,193,68,17,HashiCorp Nomad,nomadproject.io
pypa,pip+pipfile,680,463,62,74,81,27,pypa,""
druid-io,druid,675,502,84,64,25,19,druid-io,""
hazelcast,hazelcast,673,383,104,143,43,21,hazelcast,""
cocos2d,cocos2d-x,671,458,80,73,60,24,cocos2d,""
fossasia,open-event-orga-server+susi_android,670,289,94,210,77,24,fossasia,fossasia.org
HabitRPG,habitica,670,453,41,142,34,17,HabitRPG,""
JabRef,jabref,670,400,52,158,60,26,JabRef,""
certbot,certbot,669,478,49,73,69,19,certbot,""
ethereum,go-ethereum,666,384,112,106,64,20,Ethereum,ethereum.org
pixijs,pixi.js,665,423,55,90,97,19,pixijs,""
OpenRCT2,OpenRCT2,661,461,63,94,43,18,OpenRCT2,""
scalajp,2017.scalamatsuri.org,658,149,116,234,159,16,scalajp,""
dotCMS,core,647,207,68,237,135,25,dotCMS,""
citra-emu,citra,645,508,43,36,58,15,citra-emu,""
apinf,platform,644,381,44,152,67,11,apinf,""
sequelize,sequelize,642,431,51,70,90,21,sequelize,""
zfsonlinux,zfs,635,511,44,39,41,20,zfsonlinux,""
ucb-bar,chisel3+rocket-chip,634,342,57,202,33,23,ucb-bar,""
sphinx-doc,sphinx,632,439,25,113,55,14,sphinx-doc,""
prometheus,prometheus,629,462,43,70,54,17,prometheus,""
KhronosGroup,Vulkan-LoaderAndValidationLayers,629,279,70,240,40,22,KhronosGroup,""
Codeception,Codeception,628,445,69,52,62,25,Codeception,""
mesonbuild,meson,627,374,77,120,56,17,mesonbuild,""
BD2KGenomics,toil,625,328,43,196,58,15,BD2KGenomics,""
JMRI,JMRI,625,308,142,135,40,20,JMRI,""
concrete5,concrete5,623,289,73,171,90,16,concrete5,""
sosy-lab,sv-benchmarks,621,416,73,100,32,18,sosy-lab,""
PolarisSS13,Polaris,620,354,130,120,16,15,PolarisSS13,""
openlayers,ol3,616,440,54,59,63,15,openlayers,""
simulationcraft,simc,615,246,18,240,111,19,simulationcraft,""
bolt,bolt,611,331,85,137,58,14,bolt,""
claroline,Distribution,609,168,69,327,45,14,claroline,""
galaxyproject,galaxy,609,417,75,67,50,18,galaxyproject,""
Necrobot-Private,NecroBot,608,315,54,169,70,15,Necrobot-Private,""
auth0,docs,606,187,179,224,16,44,auth0,""
ReactiveX,rxjs+RxSwift,605,418,52,69,66,27,ReactiveX,""
hpi-swt2,workshop-portal,603,142,30,354,77,38,hpi-swt2,""
almighty,almighty-ui,599,401,53,68,77,11,almighty,""
TauCetiStation,TauCetiClassic,597,411,76,63,47,14,TauCetiStation,""
numpy,numpy,593,458,48,39,48,19,numpy,""
KSP-CKAN,NetKAN,591,347,109,104,31,22,KSP-CKAN,""
acemod,ACE3,589,277,79,199,34,22,acemod,""
pi-hole,pi-hole,589,395,44,128,22,16,pi-hole,""
dotnet,orleans,587,449,51,48,39,23,Microsoft Orleans,dotnet.github.io/orleans
google,protobuf,587,430,48,43,66,23,Google Protocol Buffers,developers.google.com/protocol-buffers
singularityware,singularity,586,421,50,72,43,11,singularityware,""
ligo-cbc,pycbc,584,314,99,145,26,17,ligo-cbc,""
AnalyticalGraphicsInc,cesium,583,303,46,172,62,13,AnalyticalGraphicsInc,""
iTXTech,Genisys,578,410,28,47,93,12,iTXTech,""
wallabag,wallabag,577,378,38,92,69,15,wallabag,""
NIT-dgp,UIP,577,329,70,93,85,14,NIT-dgp,""
habitat-sh,habitat,577,243,81,239,14,13,habitat-sh,""
sympy,sympy,577,457,48,19,53,13,sympy,""
freeorion,freeorion,573,329,38,174,32,11,freeorion,""
pfnet,chainer,572,289,92,165,26,25,pfnet,""
witheve,Eve,571,336,54,113,68,17,witheve,""
oss-gate,workshop,570,474,27,50,19,28,oss-gate,""
hashicorp,consul,568,298,65,168,37,29,HashiCorp Consul,consul.io
Talend,react-talend-components,566,86,57,407,16,18,Talend,""
Cloud-CV,EvalAI,562,163,121,212,66,13,Cloud-CV,""
micropython,micropython,560,451,27,49,33,13,micropython,""
pybind,pybind11,559,446,38,48,27,11,pybind,""
cloudfoundry,bosh+cloud_controller_ng,557,234,28,264,31,46,cloudfoundry,""
appcelerator,amp,556,139,70,299,48,13,appcelerator,""
fabric8io,fabric8-maven-plugin+fabric8,555,247,54,189,65,25,fabric8io,""
composer,composer,554,443,18,28,65,15,composer,""
openSUSE,open-build-service,553,326,95,106,26,18,openSUSE,""
ESMCI,cime,550,328,60,88,74,18,ESMCI,""
coreos,rkt,546,393,55,55,43,16,CoreOS,coreos.com
mockito,mockito,542,370,32,100,40,16,mockito,""
moment,moment,542,421,30,40,51,25,moment,""
astropy,astropy,541,443,47,25,26,13,astropy,""
BVLC,caffe,541,388,47,32,74,14,BVLC,""
Theano,Theano,540,389,71,26,54,13,Theano,""
qTox,qTox,539,409,47,46,37,13,qTox,""
SatelliteQE,robottelo,537,364,64,66,43,14,SatelliteQE,""
lampepfl,dotty,532,364,62,50,56,13,lampepfl,""
react-toolbox,react-toolbox,529,352,31,81,65,23,react-toolbox,""
