org,repo,activity,comments,prs,commits,issues,authors,project
,jackhumbert/qmk_firmware,4954,3264,543,866,281,201,jackhumbert/qmk_firmware
chamilo,chamilo-lms,4951,743,469,3492,247,28,chamilo
cBioPortal,cbioportal,4934,2723,760,903,548,75,cBioPortal
intellij-rust,intellij-rust,4932,2436,328,1687,481,54,intellij-rust
conan-io,conan,4931,3474,396,493,568,50,conan-io
,Kwoth/NadekoBot,4928,2169,437,1742,580,50,Kwoth/NadekoBot
MDAnalysis,mdanalysis,4927,3480,260,966,221,38,MDAnalysis
domoticz,domoticz,4908,2974,553,1079,302,139,domoticz
ReactTraining,react-router,4906,3527,278,319,782,28,ReactTraining
youtube,vitess,4898,2611,965,1159,163,71,youtube
ScreepsOCS,screeps.behaviour-action-pattern,4895,2283,533,1757,322,26,ScreepsOCS
PowerDNS,pdns,4895,2319,976,966,634,86,PowerDNS
rackerlabs,rackspace-how-to,4878,1932,896,1642,408,95,rackerlabs
silverstripe,silverstripe-framework,4864,3343,569,324,628,68,silverstripe
KeepSafe,aiohttp,4851,2704,341,1382,424,126,KeepSafe
mockito,mockito,4844,3168,328,1018,330,63,mockito
mitmproxy,mitmproxy,4835,2383,693,1265,494,94,mitmproxy
pybind,pybind11,4834,3650,298,565,321,51,pybind
,tomchristie/django-rest-framework,4833,3112,608,671,442,171,tomchristie/django-rest-framework
Alfresco,alfresco-ng2-components,4828,1046,644,2268,870,21,Alfresco
lampepfl,dotty,4826,3370,541,453,462,54,lampepfl
AffiliateWP,AffiliateWP,4810,2119,406,1768,517,36,AffiliateWP
easydigitaldownloads,easy-digital-downloads,4786,2873,440,918,555,56,easydigitaldownloads
MovingBlocks,Terasology,4771,3820,351,335,265,93,MovingBlocks
telefonicaid,fiware-orion,4770,1984,587,1848,351,32,telefonicaid
,nodemcu/nodemcu-firmware,4763,3667,272,385,439,54,nodemcu/nodemcu-firmware
matrix-org,synapse,4759,1781,676,2077,225,66,matrix-org
VOREStation,VOREStation,4750,2180,778,1226,566,40,VOREStation
thelounge,lounge,4720,3175,381,807,357,35,thelounge
linode,manager,4711,2459,594,716,942,22,linode
ShareX,ShareX,4711,2763,132,1016,800,50,ShareX
bridgedotnet,Bridge,4708,1645,518,1650,895,32,bridgedotnet
NREL,EnergyPlus,4703,2544,275,1649,235,56,NREL
ekylibre,ekylibre,4702,1072,116,2334,1180,24,ekylibre
NVIDIA,DIGITS,4702,3458,367,331,546,38,NVIDIA
rathena,rathena,4690,2584,242,1173,691,58,rathena
woothemes,woocommerce,4686,2178,408,1198,902,87,woothemes
notepad-plus-plus,notepad-plus-plus,4685,2918,362,330,1075,77,notepad-plus-plus
openhab,openhab,4668,3744,320,235,369,96,openhab
hashicorp,consul,4666,2514,476,1189,487,147,HashiCorp Consul
the-control-group,voyager,4666,2993,523,600,550,83,the-control-group
MediaBrowser,Emby,4664,763,818,2936,147,34,MediaBrowser
mobxjs,mobx,4661,3387,245,509,520,153,mobxjs
twosigma,beaker-notebook,4657,1524,615,1921,597,38,twosigma
,monero-project/monero,4648,3189,633,539,287,66,monero-project/monero
neomutt,neomutt,4639,2677,156,1456,350,70,neomutt
loomio,loomio,4634,1714,510,2076,334,26,loomio
CGAL,cgal,4628,2952,674,612,390,35,CGAL
KC3Kai,KC3Kai,4622,2414,296,1476,436,28,KC3Kai
pytest-dev,pytest,4613,3471,376,339,427,121,pytest-dev
DoSomething,phoenix,4605,2375,555,1210,465,29,DoSomething
subutai-io,base,4604,677,897,2642,388,52,subutai-io
SpongePowered,SpongeCommon,4597,1682,217,2209,489,66,SpongePowered
fpco,stackage,4592,2121,780,1416,275,275,fpco
vega,vega-lite,4584,1923,364,1838,459,44,vega
,netblue30/firejail,4583,2858,260,903,562,73,netblue30/firejail
,gnunn1/terminix,4581,3012,124,918,527,78,gnunn1/terminix
beetbox,beets,4576,3329,241,660,346,84,beetbox
Aurorastation,Aurora.3,4571,1928,857,866,920,38,Aurorastation
servicecatalog,development,4555,1296,232,2572,455,48,servicecatalog
obspy,obspy,4554,2963,271,1104,216,47,obspy
odlgroup,odl,4548,2261,288,1639,360,21,odlgroup
googleapis,toolkit,4539,2616,824,748,351,37,Google API
dailymotion,hls.js,4537,2868,199,997,473,68,dailymotion
react-toolbox,react-toolbox,4536,3008,337,548,643,151,react-toolbox
KSP-CKAN,NetKAN,4530,2028,1397,887,218,144,KSP-CKAN
opencart,opencart,4524,2507,490,850,677,106,opencart
hoburg,gpkit,4504,3176,183,832,313,23,hoburg
openaddresses,openaddresses,4495,2132,753,1365,245,44,openaddresses
,mholt/caddy,4491,3351,309,310,521,41,mholt/caddy
,mgp25/Instagram-API,4491,2806,216,657,812,69,mgp25/Instagram-API
hashicorp,vault,4482,2282,483,1141,576,86,HashiCorp Vault
infinitered,ignite,4480,2512,432,1042,494,79,infinitered
oss-gate,workshop,4471,3789,197,328,157,152,oss-gate
yarpc,yarpc-go,4467,1314,578,2338,237,32,yarpc
centreon,centreon,4462,1556,148,2033,725,54,centreon
digitalocean,netbox,4451,2595,185,812,859,41,digitalocean
nasa,openmct,4449,2416,328,1296,409,37,nasa
inspirehep,inspire-next,4442,2614,797,659,372,46,inspirehep
gocd,gocd,4437,2398,796,759,484,54,gocd
ldc-developers,ldc,4426,3323,369,477,257,29,ldc-developers
cuberite,cuberite,4425,3220,290,621,294,55,cuberite
,vsouza/awesome-ios,4424,2214,701,1336,173,307,vsouza/awesome-ios
hyperspy,hyperspy,4416,3391,386,372,267,37,hyperspy
,AllenFang/react-bootstrap-table,4412,3342,107,218,745,47,AllenFang/react-bootstrap-table
SalesforceFoundation,Cumulus,4400,1440,248,2435,277,28,SalesforceFoundation
Nukkit,Nukkit,4397,2926,548,501,422,71,Nukkit
learningequality,kolibri,4388,2296,946,957,189,34,learningequality
ember-cli,ember-cli,4382,2920,362,734,366,100,ember-cli
ReactiveCocoa,ReactiveCocoa,4379,2703,359,985,332,75,ReactiveCocoa
,Alexpux/MINGW-packages,4373,2350,789,923,311,163,Alexpux/MINGW-packages
OmniSharp,omnisharp-vscode,4365,3290,202,136,737,26,OmniSharp
,vstakhov/rspamd,4362,1394,627,1970,371,29,vstakhov/rspamd
openvstorage,framework,4359,2130,522,1121,586,22,openvstorage
attic-labs,noms,4357,2508,724,739,386,28,attic-labs
RestComm,Restcomm-Connect,4356,1847,184,1423,902,52,RestComm
girder,girder,4354,1962,454,1774,164,43,girder
NuCivic,dkan,4351,618,718,2911,104,37,NuCivic
PaddlePaddle,Paddle,4343,2618,554,495,676,58,PaddlePaddle
nunit,nunit,4337,3436,173,323,405,43,nunit
StackStorm,st2,4332,2109,459,1494,270,58,StackStorm
moment,moment,4328,3293,292,227,516,130,moment
fluent,fluentd,4325,2530,394,1133,268,58,fluent
,ultrabug/py3status,4304,2638,503,1030,133,55,ultrabug/py3status
awesomeWM,awesome,4297,3280,401,250,366,41,awesomeWM
statsmodels,statsmodels,4295,3350,317,227,401,51,statsmodels
Cloud-CV,EvalAI,4292,2525,570,863,334,32,Cloud-CV
WikiEducationFoundation,WikiEduDashboard,4291,693,161,3085,352,42,WikiEducationFoundation
invoiceninja,invoiceninja,4279,2383,231,1261,404,41,invoiceninja
,kwsch/PKHeX,4276,1973,234,1375,694,49,kwsch/PKHeX
shadowsocks,shadowsocks-libev,4259,2787,241,608,623,70,shadowsocks
wet-boew,wet-boew,4258,3618,160,130,350,21,wet-boew
schemaorg,schemaorg,4252,3174,131,564,383,37,schemaorg
celery,celery,4247,2766,222,656,603,126,celery
shogun-toolbox,shogun,4246,2703,442,897,204,44,shogun-toolbox
getgrav,grav,4234,2891,102,677,564,44,getgrav
DarkstarProject,darkstar,4232,2523,604,823,282,73,DarkstarProject
blei-lab,edward,4217,1294,260,2386,277,56,blei-lab
MonoGame,MonoGame,4216,3453,289,187,287,34,MonoGame
typelevel,cats,4215,3154,437,419,205,117,typelevel
quantopian,zipline,4214,1007,521,2566,120,63,quantopian
x64dbg,x64dbg,4206,2494,262,786,664,39,x64dbg
cuckoosandbox,cuckoo,4205,3381,140,268,416,49,cuckoosandbox
dedis,cothority,4205,933,289,2738,245,35,dedis
cplusplus,draft,4203,1970,656,1305,272,55,cplusplus
wpninjas,ninja-forms,4202,1615,397,1264,926,46,wpninjas
ceph,ceph-ansible,4199,2411,499,1045,244,92,ceph
,farkam135/GoIV,4195,2770,395,745,285,39,farkam135/GoIV
Cockatrice,Cockatrice,4171,3228,233,273,437,26,Cockatrice
01org,ciao,4167,2085,599,861,622,39,01org
sitespeedio,sitespeed.io,4162,2138,204,1412,408,32,sitespeedio
Samsung,GearVRf,4156,3124,446,370,216,36,Samsung
scikit-image,scikit-image,4149,3345,329,219,256,88,scikit-image
informatics-isi-edu,chaise,4146,1753,249,1600,544,30,informatics-isi-edu
Jumpscale,jumpscale_core8,4142,524,421,2913,284,67,Jumpscale
termux,termux-packages,4139,2355,205,1060,519,54,termux
,dylanaraps/neofetch,4134,1852,318,1790,174,41,dylanaraps/neofetch
,cantino/huginn,4130,3240,244,304,342,57,cantino/huginn
zaproxy,zaproxy,4124,2618,489,607,410,39,zaproxy
apinf,platform,4124,2390,215,967,552,21,apinf
otavanopisto,muikku,4111,193,577,2570,771,34,otavanopisto
Alamofire,Alamofire,4099,2865,165,319,750,51,Alamofire
scrapy,scrapy,4096,2898,389,398,411,77,scrapy
CachetHQ,Cachet,4093,2438,273,913,469,39,CachetHQ
,honestbleeps/Reddit-Enhancement-Suite,4089,1644,911,1133,401,84,honestbleeps/Reddit-Enhancement-Suite
pantsbuild,pants,4087,1920,843,853,471,70,pantsbuild
haikuports,haikuports,4074,2277,533,1057,207,63,haikuports
SlimeKnights,TinkersConstruct,4046,2814,102,381,749,32,SlimeKnights
languagetool-org,languagetool,4042,1049,116,2669,208,49,languagetool-org
sqlcollaborative,dbatools,4030,1479,500,1722,329,54,sqlcollaborative
Courseplay,courseplay,4022,2960,170,394,498,33,Courseplay
rear,rear,4013,3281,192,255,285,27,rear
SemanticMediaWiki,SemanticMediaWiki,4008,1863,677,1261,207,35,SemanticMediaWiki
mumble-voip,mumble,3997,2746,435,476,340,34,mumble-voip
riot,riot,3994,2794,101,576,523,40,riot
pouchdb,pouchdb,3985,2648,236,682,419,57,pouchdb
,trueadm/inferno,3979,1508,192,2057,222,88,trueadm/inferno
stormpath,stormpath-sdk-java,3963,1384,378,1788,413,36,stormpath
,doomspork/elixir-school,3957,2403,687,752,115,170,doomspork/elixir-school
terasolunaorg,guideline,3946,1280,602,1760,304,53,terasolunaorg
UPBGE,blender,3946,1733,144,1813,256,31,UPBGE
WebAssembly,design,3941,2989,210,557,185,56,WebAssembly
BuoyantIO,linkerd,3940,1738,451,1462,289,43,BuoyantIO
melpa,melpa,3931,2770,872,188,101,120,melpa
quasar-analytics,quasar,3930,2586,508,463,373,21,quasar-analytics
Yelp,paasta,3928,1156,603,2015,154,66,Yelp
SynoCommunity,spksrc,3911,3263,169,131,348,29,SynoCommunity
jwplayer,jwplayer,3902,1321,645,1734,202,49,jwplayer
,McSwaggens/AimTux,3899,1872,206,1447,374,43,McSwaggens/AimTux
ZeroK-RTS,Zero-K,3899,1959,214,1131,595,35,ZeroK-RTS
,MichMich/MagicMirror,3893,2634,436,545,278,93,MichMich/MagicMirror
HandBrake,HandBrake,3892,2582,114,757,439,35,HandBrake
,travisgoodspeed/md380tools,3892,2442,373,746,331,53,travisgoodspeed/md380tools
vuejs,vue-router,3883,2854,183,154,692,47,vuejs
,igorpecovnik/lib,3870,2008,127,1462,273,45,igorpecovnik/lib
rollup,rollup,3862,2681,219,421,541,55,rollup
opencontainers,runc,3859,2992,450,240,177,81,opencontainers
antlr,antlr4,3859,2833,347,360,319,51,antlr
mozilla-services,pageshot,3848,1723,368,842,915,25,mozilla-services
square,okhttp,3840,2587,257,460,536,45,square
,sayterdarkwynd/FrackinUniverse,3838,420,365,2789,264,29,sayterdarkwynd/FrackinUniverse
OpenGreekAndLatin,First1KGreek,3837,1571,704,1110,452,23,OpenGreekAndLatin
azavea,raster-foundry,3835,1037,411,1766,621,24,azavea
phpmyadmin,phpmyadmin,3826,2067,221,851,687,159,phpmyadmin
sulu,sulu,3819,1888,636,845,450,51,sulu
openstreetmap,iD,3815,2129,196,1030,460,72,openstreetmap
kamailio,kamailio,3814,1792,288,1519,215,101,kamailio
aframevr,aframe,3809,2553,496,319,441,65,aframevr
hashcat,hashcat,3808,1720,511,1257,320,29,hashcat
Coursemology,coursemology2,3806,1878,698,774,456,27,Coursemology
,volumio/Volumio2,3805,2185,197,947,476,57,volumio/Volumio2
geany,geany,3803,3126,178,193,306,40,geany
acquia,blt,3799,1487,789,1183,340,67,acquia
qTox,qTox,3798,3065,248,205,280,25,qTox
mavlink,qgroundcontrol,3795,2609,392,267,527,26,mavlink
grails,grails-core,3777,2419,137,614,607,48,grails
swagger-api,swagger-ui,3771,2783,222,201,565,76,swagger-api
,friendica/friendica,3766,2403,654,504,205,29,friendica/friendica
collectd,collectd,3765,2550,336,606,273,89,collectd
,mtgred/netrunner,3765,2219,440,477,629,47,mtgred/netrunner
torchbox,wagtail,3760,2322,457,639,342,128,torchbox
idris-lang,Idris-dev,3759,2685,313,453,308,71,idris-lang
,Neilpang/acme.sh,3759,2308,313,816,322,53,Neilpang/acme.sh
duplicati,duplicati,3757,2492,144,506,615,43,duplicati
FreeRDP,FreeRDP,3753,2824,304,282,343,55,FreeRDP
,robbyrussell/oh-my-zsh,3752,2453,580,234,485,177,robbyrussell/oh-my-zsh
varnishcache,varnish-cache,3748,2145,156,1168,279,31,varnishcache
operable,cog,3746,861,477,1986,422,23,operable
hechoendrupal,DrupalConsole,3744,2197,644,577,326,120,hechoendrupal
,night/BetterTTV,3738,2064,203,509,962,41,night/BetterTTV
openucx,ucx,3732,2560,499,463,210,26,openucx
diaspora,diaspora,3726,2558,387,528,253,35,diaspora
red,red,3726,1527,146,1417,636,26,red
solidusio,solidus,3720,2379,619,543,179,95,solidusio
buildbot,buildbot,3715,1872,902,730,211,113,buildbot
mysociety,alaveteli,3704,1460,311,1681,252,25,mysociety
,thestonefox/SteamVR_Unity_Toolkit,3674,2341,294,664,375,31,thestonefox/SteamVR_Unity_Toolkit
VietOpenCPS,opencps,3664,1587,753,805,519,27,VietOpenCPS
alphagov,specialist-publisher-rebuild,3663,1219,228,1367,849,40,alphagov
avalonmediasystem,avalon,3661,1076,494,1482,609,29,avalonmediasystem
mochajs,mocha,3654,2681,185,400,388,51,mochajs
pyinstaller,pyinstaller,3652,2858,167,158,469,60,pyinstaller
,samaaron/sonic-pi,3648,2105,196,1046,301,145,samaaron/sonic-pi
NuGet,NuGetGallery,3641,2131,222,715,573,35,NuGet
prebid,Prebid.js,3639,2306,425,615,293,107,prebid
pkp,pkp-lib,3637,2524,356,169,588,27,pkp
pyfa-org,Pyfa,3633,2659,172,405,397,28,pyfa-org
FAForever,fa,3633,2137,429,758,309,36,FAForever
,soimort/you-get,3632,2609,188,218,617,60,soimort/you-get
api-platform,core,3624,2676,349,399,200,33,api-platform
contiki-os,contiki,3622,2733,358,280,251,88,contiki-os
,colinxfleming/dcaf_case_management,3613,2089,391,742,391,73,colinxfleming/dcaf_case_management
,larshp/abapGit,3611,1990,183,1113,325,25,larshp/abapGit
artsy,force,3610,1756,757,723,374,39,artsy
neos,neos-development-collection,3604,2143,612,721,128,87,neos
jolocom,little-sister,3589,953,139,2054,443,29,jolocom
divio,django-cms,3579,2279,481,489,330,60,divio
GeekyAnts,NativeBase,3575,2168,106,687,614,62,GeekyAnts
SparkDevNetwork,Rock,3575,998,290,1913,374,57,SparkDevNetwork
,wenzhixin/bootstrap-table,3571,2483,139,137,812,64,wenzhixin/bootstrap-table
open-learning-exchange,BeLL-Apps,3569,811,221,2242,295,37,open-learning-exchange
STEllAR-GROUP,hpx,3569,1197,379,1851,142,49,STEllAR-GROUP
grommet,grommet,3564,1723,320,994,527,76,grommet
,jmoenig/Snap--Build-Your-Own-Blocks,3557,2705,116,294,442,33,jmoenig/Snap--Build-Your-Own-Blocks
sonata-project,SonataAdminBundle,3550,2707,393,210,240,69,sonata-project
biolab,orange3,3548,1779,772,716,281,54,biolab
zotonic,zotonic,3541,1629,176,1484,252,30,zotonic
OpenMS,OpenMS,3530,2540,350,389,251,40,OpenMS
humhub,humhub,3528,1872,215,849,592,53,humhub
typetools,checker-framework,3527,1176,343,1771,237,35,typetools
ofiwg,libfabric,3525,2049,665,615,196,56,ofiwg
interlegis,sapl,3522,1315,221,1449,537,21,interlegis
,Miserlou/Zappa,3519,1979,230,948,362,98,Miserlou/Zappa
,iissnan/hexo-theme-next,3518,2565,133,154,666,63,iissnan/hexo-theme-next
uikit,uikit,3510,2074,124,661,651,53,uikit
ramda,ramda,3509,2937,197,117,258,63,ramda
RackHD,RackHD,3506,2646,353,313,194,70,RackHD
nova-framework,framework,3496,1496,828,1058,114,24,nova-framework
,JeffreyWay/laravel-mix,3496,2455,114,386,541,55,JeffreyWay/laravel-mix
python-pillow,Pillow,3485,2209,448,584,244,58,python-pillow
top-think,framework,3478,750,351,2113,264,66,top-think
slamdata,slamdata,3476,2329,361,432,354,23,slamdata
esl,MongooseIM,3474,1056,432,1821,165,52,esl
ligo-cbc,pycbc,3472,1674,683,982,133,58,ligo-cbc
akkadotnet,akka.net,3466,2309,437,395,325,65,akkadotnet
,robertohuertasm/vscode-icons,3447,2126,289,677,355,50,robertohuertasm/vscode-icons
javaslang,javaslang,3445,2342,390,415,298,53,javaslang
SimpleMachines,SMF2.1,3443,2515,352,295,281,36,SimpleMachines
yandex,ClickHouse,3440,993,415,1804,228,68,yandex
rancher,os,3439,2160,438,403,438,28,rancher
MightyPirates,OpenComputers,3432,2338,104,471,519,26,MightyPirates
symfony,symfony-docs,3426,1976,758,519,173,161,symfony
appirio-tech,connect-app,3425,1862,239,659,665,26,appirio-tech
IBM-Swift,Kitura,3422,1961,184,721,556,61,IBM-Swift
nengo,nengo,3420,2176,146,955,143,31,nengo
diesel-rs,diesel,3419,1570,288,1285,276,51,diesel-rs
fuse-box,fuse-box,3418,1927,152,1034,305,45,fuse-box
actorapp,actor-platform,3417,447,120,2370,480,35,actorapp
,tgriesser/knex,3408,2528,166,198,516,63,tgriesser/knex
,pangloss/vim-javascript,3399,1628,380,1206,185,23,pangloss/vim-javascript
MRtrix3,mrtrix3,3385,1592,277,1331,185,26,MRtrix3
sass,node-sass,3382,2517,129,340,396,27,sass
hpi-swt2,workshop-portal,3379,742,312,1961,364,52,hpi-swt2
qorelanguage,qore,3369,712,601,1521,535,26,qorelanguage
cerebral,cerebral,3368,1575,451,1202,140,41,cerebral
TesseractTeam,Tesseract,3365,1908,128,944,385,39,TesseractTeam
coala-analyzer,coala,3364,2262,281,463,358,54,coala-analyzer
,tvalacarta/pelisalacarta,3356,2283,437,526,110,39,tvalacarta/pelisalacarta
poooi,poi,3354,1794,151,1071,338,39,poooi
,magnumripper/JohnTheRipper,3353,2332,150,624,247,33,magnumripper/JohnTheRipper
Financial-Times,polyfill-service,3351,1748,301,1103,199,69,Financial-Times
tesseract-ocr,tesseract,3349,2491,164,343,351,42,tesseract-ocr
loklak,loklak_server,3348,1719,437,864,328,52,loklak
gravitational,teleport,3341,1232,324,1515,270,41,gravitational
,ErmiyaEskandary/Slither.io-bot,3341,2428,125,564,224,32,ErmiyaEskandary/Slither.io-bot
dask,dask,3338,2401,364,193,380,40,dask
SharePoint,sp-dev-docs,3337,1995,101,803,438,44,SharePoint
EDDiscovery,EDDiscovery,3331,1050,572,1504,205,29,EDDiscovery
,Manishearth/rust-clippy,3326,1990,301,536,499,59,Manishearth/rust-clippy
zeromq,libzmq,3319,2333,390,386,210,165,zeromq
iovisor,bcc,3316,2256,394,438,228,100,iovisor
lbryio,lbry,3316,842,413,1910,151,25,lbryio
,Fyrd/caniuse,3303,1943,296,597,467,151,Fyrd/caniuse
pmmp,PocketMine-MP,3303,1612,187,1183,321,26,pmmp
,jlongster/prettier,3301,2156,360,404,381,52,jlongster/prettier
diffblue,cbmc,3301,1623,504,970,204,56,diffblue
bitsquare,bitsquare,3294,1846,109,1009,330,36,bitsquare
intelsdi-x,snap,3279,2138,413,377,351,78,intelsdi-x
opendatakit,collect,3278,2387,313,265,313,64,opendatakit
rstudio,sparklyr,3276,1887,127,825,437,25,rstudio
LLK,scratch-www,3273,1929,421,466,457,30,LLK
lyft,envoy,3272,1240,446,1413,173,46,lyft
nopSolutions,nopCommerce,3271,983,117,1287,884,31,nopSolutions
ehcache,ehcache3,3270,1611,667,598,394,41,ehcache
FreeRADIUS,freeradius-server,3261,999,235,1875,152,52,FreeRADIUS
2factorauth,twofactorauth,3260,1859,711,560,130,184,2factorauth
skatejs,skatejs,3251,1538,202,1223,288,39,skatejs
status-im,status-react,3250,1286,272,1245,447,35,status-im
jquery,jquery,3249,2519,163,148,419,32,jquery
gatsbyjs,gatsby,3247,1989,273,710,275,128,gatsbyjs
,kripken/emscripten,3246,2160,346,284,456,26,kripken/emscripten
,antirez/redis,3246,2049,297,424,476,59,antirez/redis
libgdx,libgdx,3242,2147,296,389,410,108,libgdx
mbedmicro,mbed,3242,2432,449,190,171,39,mbedmicro
ckan,ckan,3240,1988,316,616,320,66,ckan
ganga-devs,ganga,3236,1901,185,966,184,29,ganga-devs
drush-ops,drush,3227,1766,276,853,332,76,drush-ops
openfoodfoundation,openfoodnetwork,3223,2148,170,406,499,35,openfoodfoundation
aws,aws-cli,3218,2123,250,461,384,45,aws
,olafurpg/scalafmt,3217,1540,218,1026,433,49,olafurpg/scalafmt
ros-planning,moveit,3216,2214,309,519,174,47,ros-planning
otland,forgottenserver,3206,2456,290,255,205,36,otland
firebase,FirebaseUI-Android,3196,2356,247,263,330,48,firebase
OnsenUI,OnsenUI,3188,1347,283,1260,298,31,OnsenUI
leancloud,docs,3187,1435,607,837,308,61,leancloud
jitsi,jitsi-meet,3186,1272,620,1080,214,48,jitsi
uProxy,uproxy,3182,1443,285,1194,260,43,uProxy
rails-api,active_model_serializers,3181,2497,243,217,224,88,rails-api
I2PC,scipion,3178,803,219,1797,359,37,I2PC
pydata,xarray,3177,2408,219,233,317,46,pydata
RaRe-Technologies,gensim,3176,2301,308,352,215,80,RaRe-Technologies
,photonstorm/phaser,3174,1498,202,1068,406,92,photonstorm/phaser
metacloud,molecule,3169,1781,418,721,249,52,metacloud
MoonchildProductions,Pale-Moon,3164,1805,309,771,279,29,MoonchildProductions
AtomicGameEngine,AtomicGameEngine,3164,1480,409,904,371,39,AtomicGameEngine
scp-fs2open,fs2open.github.com,3162,1695,599,708,160,41,scp-fs2open
cake-build,cake,3156,2227,303,260,366,54,cake-build
circleci,circleci-docs,3155,1071,636,1183,265,137,circleci
GoogleCloudPlatform,google-cloud-python,3155,2286,263,270,336,25,Google Cloud Platform
rtfd,readthedocs.org,3150,1832,214,684,420,52,rtfd
Axelrod-Python,Axelrod,3148,1805,308,900,135,35,Axelrod-Python
AugurProject,augur,3147,647,173,2161,166,24,AugurProject
Moya,Moya,3143,2186,246,412,299,55,Moya
dib-lab,khmer,3143,1748,163,1075,157,27,dib-lab
ractivejs,ractive,3139,1968,166,718,287,25,ractivejs
,jessesquires/JSQMessagesViewController,3131,2347,155,212,417,52,jessesquires/JSQMessagesViewController
witheve,Eve,3124,857,249,1762,256,42,witheve
indico,indico,3123,817,391,1713,202,27,indico
,chmln/flatpickr,3122,1609,142,827,544,87,chmln/flatpickr
CiscoCloud,mantl,3121,1909,307,627,278,45,CiscoCloud
i3,i3,3117,2492,161,156,308,46,i3
yakyak,yakyak,3116,2367,155,248,346,42,yakyak
Carthage,Carthage,3109,2160,230,323,396,49,Carthage
CellProfiler,CellProfiler,3105,1373,245,968,519,25,CellProfiler
,skyarkhangel/Hardcore-SK,3105,1432,314,877,482,36,skyarkhangel/Hardcore-SK
,JedWatson/react-select,3100,2176,223,153,548,93,JedWatson/react-select
redfin,react-server,3095,1595,504,745,251,74,redfin
ppy,osu-web,3085,856,492,1590,147,43,ppy
TrueCar,gluestick,3085,793,505,1531,256,37,TrueCar
styled-components,styled-components,3084,2300,206,224,354,37,styled-components
robotology,yarp,3081,1475,253,1160,193,49,robotology
dash-project,dash,3081,1217,203,1486,175,24,dash-project
,mawww/kakoune,3076,2076,242,328,430,46,mawww/kakoune
naver,pinpoint,3075,1314,640,658,463,32,naver
,zyedidia/micro,3074,1632,218,817,407,69,zyedidia/micro
PrismLibrary,Prism,3073,2248,199,318,308,36,PrismLibrary
activeadmin,activeadmin,3073,2305,204,239,325,65,activeadmin
open62541,open62541,3067,1394,213,1229,231,60,open62541
ufal,neuralmonkey,3064,1430,168,1234,232,21,ufal
quicwg,base-drafts,3063,1293,189,1337,244,24,quicwg
,h4cc/awesome-elixir,3063,522,302,314,1925,198,h4cc/awesome-elixir
