org,repo,activity,comments,prs,commits,issues,authors,project
ParsePlatform,parse-server,10101,7493,445,627,1536,77,ParsePlatform
codenvy,codenvy,10074,3919,896,4178,1081,65,codenvy
openwhisk,openwhisk,10039,7125,1131,870,913,95,openwhisk
mautic,mautic,9986,6767,775,924,1520,82,mautic
HabitRPG,habitrpg+habitica,9910,6302,725,2105,778,110,HabitRPG
hyperledger,fabric,9899,6539,795,1810,755,194,hyperledger
uclouvain,osis+osis-portal,9875,2920,1500,4266,1189,70,uclouvain
,radare/radare2,9795,6548,1169,936,1142,93,radare/radare2
rapid7,metasploit-framework,9721,7160,927,1086,548,210,rapid7
bioconda,bioconda-recipes,9691,4185,2640,2613,253,238,bioconda
opentx,opentx,9649,5273,635,2983,758,49,opentx
LLNL,spack,9623,6849,1467,512,795,76,LLNL
qbittorrent,qBittorrent,9613,7770,273,286,1284,54,qbittorrent
steemit,steemit.com+steem,9608,4563,815,2764,1466,72,steemit
mamedev,mame,9604,2392,1288,5778,146,214,mamedev
TEAMMATES,teammates,9474,5509,927,2260,778,136,TEAMMATES
neo4j,neo4j,9446,3700,1978,3424,344,96,neo4j
rcbops,rpc-openstack,9397,6371,812,1847,367,60,rcbops
GoogleChrome,lighthouse,9387,5127,956,2398,906,89,Google Chrome
numpy,numpy,9351,7419,690,553,689,177,numpy
spring-projects,spring-boot,9333,6192,640,599,1902,53,spring-projects
vaadin,framework+vaadin-grid,9296,4997,811,2697,791,71,vaadin
openscholar,openscholar,9232,4774,586,3169,703,33,openscholar
open-mpi,ompi,9188,6488,1210,1162,328,79,open-mpi
xcat2,xcat-core,9035,5855,1128,1163,889,68,xcat2
crystal-lang,crystal,9033,7001,594,385,1053,98,crystal-lang
bazelbuild,bazel,9029,6665,153,785,1426,103,bazelbuild
alibaba,weex,9015,4520,1006,2145,1344,114,alibaba
neovim,neovim,8960,7118,792,214,836,35,neovim
greenplum-db,gpdb,8905,5514,1375,1791,225,173,greenplum-db
,Lunat1q/Catchem-PoGo,8814,6053,176,461,2124,45,Lunat1q/Catchem-PoGo
koding,koding,8807,2223,1244,4703,637,38,koding
CocoaPods,CocoaPods,8749,7006,193,240,1310,40,CocoaPods
pixijs,pixi.js,8689,6158,649,1032,850,98,pixijs
sequelize,sequelize,8687,6339,468,686,1194,155,sequelize
modxcms,evolution+revolution,8673,6512,582,922,657,104,modxcms
acemod,ACE3,8658,5067,846,2158,587,91,acemod
Sylius,Sylius,8654,5086,2151,501,916,75,Sylius
piwik,piwik,8646,4710,660,2313,963,70,piwik
galaxyproject,galaxy,8636,5729,1144,1123,640,92,galaxyproject
certbot,certbot,8636,5730,660,1300,946,119,certbot
hydroshare,hydroshare,8624,4938,367,2794,525,40,hydroshare
Ultimaker,Cura,8609,4844,291,2801,673,65,Ultimaker
cakephp,cakephp,8579,6147,786,771,875,99,cakephp
zurb,foundation-sites,8520,6264,676,783,797,182,zurb
jhipster,generator-jhipster,8493,6133,1164,226,970,78,jhipster
druid-io,druid,8450,5994,1133,831,492,98,druid-io
telegramdesktop,tdesktop,8420,6394,115,634,1277,35,telegramdesktop
devtools-html,debugger.html,8408,5247,1071,1224,866,122,devtools-html
librenms,librenms,8360,5398,1305,516,1141,70,librenms
chapel-lang,chapel,8345,4107,2084,1917,237,68,chapel-lang
ocaml,opam-repository,8334,3232,2622,2372,108,346,ocaml
,mitchellh/packer,8315,5995,628,934,758,208,mitchellh/packer
trilinos,Trilinos,8306,5209,154,2112,831,132,trilinos
astropy,astropy,8267,6824,585,449,409,84,astropy
citusdata,citus,8231,3849,392,3478,512,49,citusdata
haskell,cabal,8162,6123,627,853,559,80,haskell
scipy,scipy,8140,6359,644,545,592,187,scipy
openwrt,packages,8126,5078,1331,1382,335,268,openwrt
,mishoo/UglifyJS2,8115,7037,385,321,372,35,mishoo/UglifyJS2
SeleniumHQ,selenium,8112,5135,312,1128,1537,122,SeleniumHQ
,jabbink/PokemonGoBot,8104,6295,349,448,1012,59,jabbink/PokemonGoBot
hashicorp,nomad,8089,3848,851,2705,685,136,HashiCorp Nomad
ponylang,ponyc,8074,4810,684,2143,437,88,ponylang
pymedusa,SickRage,8070,2733,652,4311,374,25,pymedusa
sakaiproject,sakai,8065,3556,1917,2364,228,135,sakaiproject
dotnet,orleans,8062,5891,833,848,490,121,Microsoft Orleans
sympy,sympy,8044,6350,744,315,635,125,sympy
KhronosGroup,Vulkan-LoaderAndValidationLayers,8043,3552,895,3057,539,123,KhronosGroup
auth0,docs,7990,2440,2241,2854,455,235,auth0
capitalone,Hygieia+cloud-custodian,7975,5005,815,1114,1041,119,capitalone
bokeh,bokeh,7925,4838,590,1411,1086,65,bokeh
pi-hole,pi-hole,7890,5739,487,1165,499,60,pi-hole
OrchardCMS,Orchard+Orchard2,7875,4666,557,1730,922,108,OrchardCMS
simulationcraft,simc,7874,2224,176,4670,804,93,simulationcraft
