org,repo,activity,comments,prs,commits,issues,pushes,authors,pushes_1,project,url
istio,istio+istio.io+ztunnel+api+proxy+tools+test-infra+community+release-builder+client-go+common-files+bots+enhancements+pkg,40795,27745,3338,5994,2323,7389,189,7389,Istio,istio.io
fluid-cloudnative,fluid+charts+community+fluid-cloudnative.github.io+fluid-client-python,2972,1266,787,556,416,503,166,503,Fluid,github.com/fluid-cloudnative
containers,podman+buildah+storage+image+common+skopeo+netavark+podman-py+aardvark-dns+conmon,36815,27451,2933,8258,2338,4093,165,4093,Podman Container Tools,podman.io
layer5io,layer5+docs+sistent+getnighthawk+.github+slack+meshery-smp-action+learn-layer5+meet+discuss-theme+wasm-filters+azure_hub+containers-101-workshop+preview-layer5+helm-chart-releaser+layer5-repo-template+meshery-cloud-native-patterns-action+discuss-board+rtk-query-codegen,13877,7532,2061,5803,821,3463,154,3463,layer5io,""
containerd,containerd+nerdctl+runwasi+nri+stargz-snapshotter+rust-extensions+ttrpc-rust+nydus-snapshotter+overlaybd+containerd.io+project+cgroups+go-cni+fuse-overlayfs-snapshotter+continuity+platforms+accelerated-container-image+imgcrypt+errdefs+ttrpc+otelttrpc+typeurl+ltag+project-checks+release-tool+fifo+console+log+zfs+go-runc+plugin+aufs,33067,23031,5127,6409,1516,3393,130,3393,containerd,containerd.io
kubevirt,kubevirt+ci-health+project-infra+containerized-data-importer+cluster-network-addons-operator+hyperconverged-cluster-operator+community+ssp-operator+kubevirtci+enhancements+kubevirt-tekton-tasks+common-instancetypes+user-guide+ipam-extensions+containerdisks+common-templates+kubevirt-velero-plugin+vm-console-proxy+application-aware-quota+kubevirt.core+monitoring+kubevirt.github.io+sig-release+kubesecondarydns+csi-driver+hostpath-provisioner-operator+hostpath-provisioner+bridge-marker+macvtap-cni+client-go+cloud-provider-kubevirt+ci-performance-benchmarks+dra-pci-driver+api+api-reference+client-python+libguestfs-appliance+managed-tenant-quota+controller-lifecycle-operator-sdk+cdi-api-reference+kubevirt-tutorial+katacoda-scenarios+containerized-data-importer-api+kubectl-virt-plugin+irsa-mutation-webhook+cdi-operator+test-benchmarks+ansible-kubevirt-modules+storage-demo+must-gather+test-infra-containers+terraform-provider-kubevirt+cpu-nfd-plugin+machine-remediation+run+demo+cloud-image-builder+cluster-api-provider-external+web-ui-design+application-aware-quota-api+web-ui-operator+device-plugin-manager+qe-tools,90281,65192,4679,24217,958,19452,127,19452,KubeVirt,kubevirt.io
kyverno,kyverno+chainsaw+policy-reporter+website+policies+kyverno-envoy-plugin+playground+kyverno-json+policy-reporter-ui+reports-server+policy-reporter-plugins+backstage-policy-reporter-plugin+KDP+community+action-install-chainsaw+policy-reporter-docs+load-testing+pkg+policy-reporter-kyverno-plugin+.github+action-install-cli+action-install-kyverno-json,27299,10613,6100,7932,1530,9056,125,9056,Kyverno,kyverno.io
grpc+grpc-ecosystem,grpc-go+grpc+grpc-java+grpc-gateway+grpc-swift+psm-interop+proposal+grpc-node+grpc.io+grpc-dotnet+grpc-swift-nio-transport+grpc-swift-protobuf+grpc-dart+grpc-ios+grpc-spring+grpc-swift-extras+grpc-codelabs+grpc-web+go-grpc-middleware+grpc-health-probe+grpc-proto+grpc-kotlin+grpc-httpjson-transcoding+grpcdebug+awesome-grpc+test-infra+proto_processing_lib+codelabs+grpc-community+grpc-swift-2+grpc-php+proto-field-extraction,56244,37967,7160,9103,2318,8799,121,8799,gRPC,grpc.io
helm,helm+community+helm-www+chartmuseum+chart-releaser+chart-testing+helm-mapkubeapis+kind-action+chart-releaser-action+helm-2to3+chart-testing-action+examples+homebrew-tap,22254,8024,1424,1840,11926,880,117,880,Helm,helm.sh
volcano-sh,volcano+dashboard+apis+website+volcano-global+community+devices+descheduler+helm-charts+resource-exporter+federation,10842,8983,861,1098,487,511,110,511,Volcano,volcano.sh
fluent,fluent-bit+fluent-bit-docs+fluentd+fluent-operator+fluent-package-builder+fluentd-docs-gitbook+fluentd-website+helm-charts+fluentd-kubernetes-daemonset+fluentd-docker-image+cmetrics+fluent-plugin-s3+fluent-plugin-kafka+fluent-plugin-prometheus+fluent-plugin-opensearch+cfl+ctraces+fluent-plugin-windows-eventlog+cprofiles+fluent-bit-go-custom_jaeger_remote+fluent-logger-golang+fluent-bit-test-suite+fluentd-ui+diagtool+fluent-plugin-parser-winevt_xml+fluent-plugin-prometheus_pushgateway+fluent-plugin-sql+fluent-bit-infra+fluent-logger-perl+fluent-plugin-rewrite-tag-filter+fluent-logger-ruby+fluent-otel-proto+fluent-bit-go-custom_jeager_remote+chunkio+fluent-plugin-parser-cri+fluent-bit-ci+fluent-bit-chatops-demo+fluent-plugin-mongo+onigmo+fluent-plugin-webhdfs+fluent-plugin-sd-dns+fluent-bit-town-hall+fluent-bit-perf+fluent-plugin-splunk+fluent-logger-php+fluent-bit-plugin+fluent-bit-observability-demo+fluent-bit-go+fluent-logger-node+fluent-logger-python+fluentd-docs-kubernetes+fluent-bit-tutorials+fluent-logger-java,19970,11294,3872,5901,1432,3372,104,3372,Fluentd,fluentd.org
cloudnative-pg,cloudnative-pg+plugin-barman-cloud+charts+cnpg-i-machinery+cloudnative-pg.github.io+barman-cloud+postgres-containers+cnpg-i-hello-world+machinery+cnpg-i+daggerverse+postgis-containers+artifacts+postgres-trunk-containers+cnpg-playground+api+grafana-dashboards+pgbouncer-containers+governance+.github+cloudnative-pg-machinery+ciclops+webtest,27935,9772,3879,14631,2085,12199,97,12199,CloudNativePG,cloudnative-pg.io
etcd-io,etcd+etcd-operator+website+auger+raft+jetcd+gofail+protodoc+etcdlabs,20600,15470,2855,3195,727,1548,95,1548,etcd,coreos.com/etcd
kubeflow,pipelines+model-registry+trainer+training-operator+website+manifests+spark-operator+katib+notebooks+community+kubeflow+arena+internal-acls+mpi-operator+blog+dashboard+sdk+examples+marketing-materials+testing+fairing+kfp-tekton,44269,36144,2830,3529,1983,3312,88,3312,Kubeflow,kubeflow.org
rook,rook+kubectl-rook-ceph+rook.github.io,15340,11612,1470,2562,705,1553,87,1553,Rook,rook.io
karmada-io,karmada+website+dashboard+community+multicluster-cloud-provider+api+playground,17522,14622,1302,2139,565,1033,85,1033,Karmada,Karmada.io
opentofu,registry+opentofu+registry-ui+opentofu.org+tofu-ls+libregistry+vscode-opentofu+opentofu-schema+opentofu-ls+tofu-exec+tofutestutils+get.opentofu.org+manifesto+scripts+setup-opentofu+opentofu-performance-testing+opentofu-mcp-server+tofudl+terraform-provider-lua+terraform-provider-go+vscode-opentofu-backup+brand-artifacts+org+.github,35425,9312,2302,23618,2177,21634,84,21634,OpenTofu,opentofu.org
jaegertracing,jaeger+jaeger-ui+documentation+jaeger-operator+helm-charts+jaeger-idl+spark-dependencies+jaeger-clickhouse+jaeger-analytics-java+.github+jaeger-analytics-flink+docker-protobuf,21283,15644,2917,1812,956,1766,83,1766,Jaeger,jaeger.readthedocs.io/en/latest
Project-HAMi,HAMi+website+volcano-vgpu-device-plugin+HAMi-core+HAMi-WebUI+community+ascend-device-plugin+dcu-vgpu-device-plugin+mock-device-plugin+dcu-dcgm,4278,2109,982,818,606,581,77,581,HAMi,project-hami.io
dapr,dapr+java-sdk+docs+dotnet-sdk+components-contrib+quickstarts+dapr-agents+community+proposals+go-sdk+cli+python-sdk+test-infra+js-sdk+rust-sdk+kubernetes-operator+kit+website+samples+helm-charts+blog+dapr-shared+dashboard+setup-dapr+php-sdk+homebrew-tap+installer-bundle+cpp-sdk+sig-sdk-spec+mechanical-markdown+docs-zh,22193,14453,3873,3409,1971,1896,76,1896,Dapr,dapr.io
open-policy-agent,opa+gatekeeper+conftest+opa-envoy-plugin+gatekeeper-library+frameworks+vscode-opa+cert-controller+kube-mgmt+swift-opa+opa-idea-plugin+contrib+opa-docker-authz+npm-opa-wasm+community+setup-opa+library,14048,8644,2133,2601,833,2438,76,2438,OPA,openpolicyagent.org
thanos-io,thanos+promql-engine+objstore+kube-thanos+tutorials,5439,3341,879,1183,304,915,76,915,Thanos,thanos.io
cert-manager,cert-manager+trust-manager+website+istio-csr+aws-privateca-issuer+approver-policy+makefile-modules+openshift-routes+csi-driver-spiffe+csi-driver+google-cas-issuer+cmctl+issuer-lib+testing+helm-tool+community+sample-external-issuer+csi-lib+image-tool+klone+release+infrastructure+cert-manager-olm+base-images+webhook-example+print-your-cert+webhook-cert-lib+example-approver-policy-plugin+webhook-lib,12880,7449,1199,5570,468,3764,75,3764,cert-manager,cert-manager.io
openfga,openfga+openfga.dev+language+sdk-generator+cli+python-sdk+js-sdk+api+helm-charts+go-sdk+java-sdk+vscode-ext+community+spring-boot-starter+intellij-plugin+sample-stores+dotnet-sdk+frontend-utils+roadmap+.github+openfga-envoy+homebrew-tap+terraform-provider-openfga+action-openfga-test+action-openfga-deploy+rfcs+flask-demo,19238,9544,2884,8028,504,6306,74,6306,OpenFGA,openfga.dev
vitessio,vitess+website+arewefastyet+vt+vitess-releaser+vitess-tester+enhancements+vitess-bot+contrib+vtbenchstat,18896,11848,2945,3791,981,3122,73,3122,Vitess,vitess.io
runatlantis,atlantis+helm-charts+terraform-gce-atlantis+atlantis-example+org+atlantis-tests+examples,5202,2063,636,2341,306,2197,73,2197,Atlantis,runatlantis.io
kedacore,keda+keda-docs+http-add-on+charts+test-tools+external-scaler-azure-cosmos-db+governance+keda-olm-operator+testing-infrastructure+external-scalers+.github+sample-dotnet-worker-servicebus-queue+sample-typescript-kafka-azure-function,8162,5457,1415,703,612,678,68,678,KEDA,keda.sh
podman-desktop,podman-desktop+extension-bootc+podman-desktop-catalog+extension-podman-quadlet+extension-minikube+extension-kreate+extension-layers-explorer+e2e+extension-template-minimal+community+extension-template-full+extension-kubernetes-dashboard+.github+podman-desktop-extension-minikube+podman-desktop-extension-bootc+extension-template-webview+podman-desktop-extension-layers-explorer+testing-prereleases,28303,14051,5033,7545,2328,6891,67,6891,Podman Desktop,podman-desktop.io
wasmCloud,wasmCloud+wasmcloud.com+wadm+go+typescript+wasmcloud-operator+wadge+component-sdk-go+wasmCloud-contrib+provider-sdk-go+chocolatey-wash+homebrew-wasmcloud+contrib+nats-jwt-rs+nkeys+west+cabish+wasi-passthrough+org-admin+rust-url-wasmcloud+go-vanity-urls+wasmcloud-component-adapters+wasmcloud-js+wasmcloud-otp+messaging+.github+lattice-observer+serde_urlencoded-wasmcloud,19467,9539,4638,7019,600,4690,64,4690,wasmCloud,wasmcloud.com
nats-io,nats-server+nats.net+nats.c+natscli+nats.js+nats.java+nats.go+nats.rs+nats-architecture-and-design+nats.docs+nats.py+jsm.go+k8s+nack+nsc+prometheus-nats-exporter+nats-docker+nats-pure.rb+nats-surveyor+nats-site+jwt.net+nats.net.v2+nats.ex+nats.net.v1+terraform-provider-jetstream+nats.deno+nats.swift+nkeys.js+jwt+nats.ws+nats.node+nats-spark-connector+spring-nats+nkeys+nats-box+nkeys.net+java-nats-examples+nats-java-vertx-client+nats-top+nuid+nats-streaming-server+graft+nuid.js+homebrew-nats-tools+jwt.java+nats-kafka+nats-general+json.java+nats-mq+nkeys.py+netlify-slack+stan.js+advisories+nats-operator+jwt.js+nats-account-server+nkeys.java+nkeys.ex+.github+nats.rb+integration-tests+java-nats-server-runner+nats-choco+cliprompts+nats.py2+nats.client.deps+nats.zig+stan.go+nats-connector-framework+jparse+nkeys.swift+stan.rb+nats.cr+server-config+latency-tests+asyncio-nats-examples+stan.py,25613,12707,5205,9305,1598,6103,64,6103,NATS,nats.io
inspektor-gadget,inspektor-gadget+ig-benchmarks+ig-test-reports+website+ig-desktop+headlamp-plugin+charts+kubecon-na-2024+gadget-template+Contribfest-KubeCon-Europe2025+ig-mcp-server,20070,8778,1559,11704,462,9271,62,9271,Inspektor Gadget,inspektor-gadget.io
crossplane+crossplane-contrib,crossplane+provider-upjet-aws+provider-upjet-gcp+provider-upjet-azure+docs+provider-aws+crossplane-runtime+function-go-templating+provider-upjet-azuread+function-sdk-python+provider-kubernetes+provider-sql+function-sdk-go+function-patch-and-transform+upjet+provider-argocd+function-kcl+provider-http+provider-gitlab+function-template-python+function-shell+function-auto-ready+function-environment-configs+provider-upjet-github+upjet-provider-template+function-status-transformer+uptest+provider-template+provider-pagerduty+provider-helm+provider-upjet-alibabacloud+function-template-go+crossplane-tools+function-sequencer+function-extra-resources+provider-palette+function-pkl+function-tag-manager+provider-ansible+crossplane-provider-castai+function-cel-filter+provider-terraform+xp-testing+provider-jet-equinix+release+provider-openstack+function-unit-test+provider-workflows+website+function-runtime-oci+function-cue+provider-confluent+function-dummy+provider-nop+org+provider-tencentcloud+provider-upjet-digitalocean+x-generation+crossplane-provider-newrelic+function-python+function-sdk-java+changelogs-sidecar+provider-mongodbatlas+provider-upjet-mysql+provider-kafka+provider-azure+configuration-quickstart+provider-spotify+provider-alibaba+provider-digitalocean+setup-crossplane-action+provider-gcp+provider-civo+crossplane-diff+provider-okta+xpkg-action+provider-jet-datadog+provider-vultr+ess-plugin-vault+provider-github+contribfest+provider-cloudflare+provider-bitbucket-server+crossplane-lint+crisscross+provider-jet-alibaba+conformance+provider-tinkerbell+custom-composition+provider-jet-linode+provider-yandex-cloud+provider-newrelic+provider-zpa+provider-ibm-cloud+provider-jet-rancher+claim-migrator+provider-influxdb+provider-planetscale+provider-upjet-ec+provider-jet-ec+provider-secret+crossplane-cdk8s+provider-styra+cross-capi-metal+provider-capi+provider-jet-vault+provider-cloudinit+provider-in-cluster+provider-upjet-edgeadc+provider-kops+provider-upjet-kafka+provider-ssh,21887,11320,3736,7685,2185,4646,61,4646,Crossplane,crossplane.io
cloud-custodian,cloud-custodian+tfparse+cel-python+poetry-plugin-freeze+pytest-terraform+www.cloudcustodian.io+helm-charts,2704,1319,657,360,405,323,59,323,Cloud Custodian,cloudcustodian.io
litmuschaos,litmus+litmus-java-sdk+litmus-docs+test-tools+litmus-go+litmus-helm+chaos-ci-lib+litmusctl+chaos-charts+litmus-website-2+litmus-go-sdk+chaos-operator+charthub.litmuschaos.io+admission-controllers+litmus-cd+chaos-runner+litmus-e2e+chaos-exporter+backstage-plugin+v1-litmus-docs+github-chaos-actions+litmus-ansible+website-litmuschaos+gitlab-remote-templates+tutorials,3566,1616,933,857,248,769,59,769,LitmusChaos,litmuschaos.io
strimzi,strimzi-kafka-operator+proposals+strimzi.github.io+strimzi-kafka-bridge+test-container+metrics-reporter+kafka-access-operator+test-clients+strimzi-kafka-oauth+drain-cleaner+governance+test-container-images+strimzi-mqtt-bridge+kafka-kubernetes-config-provider+client-examples+strimzi-canary+kafka-env-var-config-provider+strimzi-lab,18730,14390,1885,2002,616,1839,58,1839,Strimzi,strimzi.io
tikv,tikv+pd+client-go+rfcs+client-rust+titan+client-c+rust-prometheus+raft-rs+raft-engine+pprof-rs+grpc-rs+community+migration+copr-test+minitrace-rust+fail-rs+client-java+async-speed-limit+match-template+minitrace-go+website+sig-transaction+crc64fast+skiplist-rs+client-cpp,19499,14907,1811,1698,1107,1674,58,1674,TiKV,tikv.org
coredns,coredns+helm+coredns.io+corefile-migration+kubernetai+deployment+multicluster+ci+alternate+rrl+policy+metadata_edns0+perf-tests+coredns-opa,2528,1234,563,629,196,535,58,535,CoreDNS,coredns.io
cubefs,cubefs+cubefs-community+cubefs-csi+compass+cubefs-dashboard+cubefs_blog+cubefs-helm+cubefs-hadoop+docs-zh,2020,953,540,981,262,265,58,265,CubeFS,cubefs.io
headlamp-k8s+kubernetes-sigs,headlamp+headlamp+plugins+headlamp-website+backstage-plugin,13890,8139,1822,5783,825,3104,54,3104,Headlamp,headlamp.dev
lima-vm,lima+socket_vmnet+go-qcow2reader+sshocker+alpine-lima+lima-actions,10092,7159,1431,1861,595,907,53,907,Lima,github.com/lima-vm/lima
fluxcd,flux2+pkg+website+stats+kustomize-controller+source-controller+notification-controller+image-automation-controller+flagger+helm-controller+image-reflector-controller+terraform-provider-flux+community+flux2-monitoring-example+go-git-providers+flux2-multi-tenancy+test-infra+source-watcher+.github+flux2-kustomize-helm-example+homebrew-tap+flux-benchmark+flux2-hub-spoke-example,10461,5018,1714,6140,695,3034,53,3034,Flux,github.com/fluxcd
kubestellar,kubestellar+ui+kubeflex+ocm-status-addon+galaxy+infra+helm+kubectl-plugin+kubestellar-mcp+ocm-transport-plugin+presentations,15674,11297,1914,2495,1083,1380,51,1380,Kubestellar,kubestellar.io
cri-o,cri-o+packaging+ocicni+cri-o.io,8931,6042,609,2750,242,2038,51,2038,CRI-O,cri-o.io
