org,repo,activity,comments,prs,commits,issues,authors,project,url
cerner,terra-ui,638,121,73,377,67,26,cerner,""
capitalone,cloud-custodian,971,506,129,220,116,26,capitalone,""
GeekyAnts,NativeBase,1572,958,40,304,270,26,GeekyAnts,""
bootstrap-vue,bootstrap-vue,707,343,55,220,89,26,bootstrap-vue,""
adazzle,react-data-grid,714,274,70,310,60,26,adazzle,""
,gnunn1/terminix,1169,812,31,197,129,26,gnunn1/terminix,""
keystonejs,keystone,1105,683,56,269,97,26,keystonejs,""
urho3d,Urho3D,1140,706,47,279,108,26,urho3d,""
Microsoft,HoloToolkit-Unity,908,691,62,51,104,26,Microsoft HoloToolkit,github.com/Microsoft/HoloToolkit
assimp,assimp,403,217,40,92,54,26,assimp,""
plone,Products.CMFPlone,689,409,51,173,56,26,plone,""
Mashape,kong,2203,1415,167,407,214,26,Mashape,""
SpongePowered,SpongeCommon,1012,382,49,456,125,26,SpongePowered,""
wallabag,wallabag,1309,887,83,127,212,26,wallabag,""
spotify,luigi,521,361,69,54,37,26,spotify,""
weaveworks,scope,2026,991,148,722,165,25,weaveworks,""
CartoDB,cartodb,4416,2070,252,1674,420,25,CARTO,carto.com
metabase,metabase,3427,2113,221,680,413,25,metabase,""
,radare/radare2,2766,1837,299,294,336,25,radare/radare2,""
wordpress-mobile,WordPress-iOS,2708,1155,332,947,274,25,WordPress-mobile,make.wordpress.org/mobile
Courseplay,courseplay,2404,1775,125,231,273,25,Courseplay,""
xcat2,xcat-core,2024,1322,256,240,206,25,xcat2,""
projecthydra-labs,hyrax,1578,590,241,579,168,25,projecthydra-labs,""
citra-emu,citra,1480,1104,147,111,118,25,citra-emu,""
adobe,brackets,1428,986,80,196,166,25,adobe,""
mesonbuild,meson,1392,885,150,225,132,25,mesonbuild,""
wekan,wekan,1331,895,46,228,162,25,wekan,""
OWASP,owasp-mstg,1128,179,136,592,221,25,OWASP,""
openaps,oref0,1059,549,93,379,38,25,openaps,""
Moya,Moya,1021,717,67,146,91,25,Moya,""
google,closure-compiler,1005,742,54,78,131,25,Google Closure Compiler,developers.google.com/closure/compiler
att-comdev,openstack-helm,998,636,163,116,83,25,att-comdev,""
Nukkit,Nukkit,973,645,133,95,100,25,Nukkit,""
DynamoDS,Dynamo,940,504,221,161,54,25,DynamoDS,""
NYTimes,Store,865,448,104,248,65,25,NYTimes,""
Yelp,paasta,825,195,147,450,33,25,Yelp,""
pantsbuild,pants,807,385,160,170,92,25,pantsbuild,""
mipengine,mip-extensions,734,343,184,158,49,25,mipengine,""
hechoendrupal,drupal-console,711,441,85,80,105,25,hechoendrupal,""
unicorn-engine,unicorn,706,488,49,135,34,25,unicorn-engine,""
go-swagger,go-swagger,587,370,47,57,113,25,go-swagger,""
tc39,test262,567,388,80,65,34,25,tc39,""
aimacode,aima-python,565,293,142,80,50,25,aimacode,""
sofa-framework,sofa,733,513,71,102,47,24,sofa-framework,""
Teradata,covalent,1302,505,116,549,132,24,Teradata,""
Microsoft,WinObjC,2672,1469,352,403,448,24,Microsoft Objective-C for Windows,github.com/Microsoft/WinObjC
freerangerouting,frr,1327,872,216,189,50,24,freerangerouting,""
Financial-Times,polyfill-service,780,428,83,222,47,24,Financial-Times,""
Jackett,Jackett,2497,1860,54,290,293,24,Jackett,""
,kvhnuke/etherwallet,519,201,37,240,41,24,kvhnuke/etherwallet,""
piwik,piwik,2207,1306,186,448,267,24,piwik,""
MonoGame,MonoGame,2038,1693,147,85,113,24,MonoGame,""
