org,repo,activity,comments,prs,commits,issues,authors,project,url
google,blockly+cadvisor,1495,991,177,200,127,38,google,""
Codeception,Codeception,1200,787,128,142,143,38,Codeception,""
PolarisSS13,Polaris,1979,1003,460,406,110,38,PolarisSS13,""
Dolibarr,dolibarr,1545,399,249,764,133,38,Dolibarr,""
meteor,meteor,4911,4030,112,360,409,37,Meteor,meteor.com
yiisoft,yii2,2861,1890,399,182,390,37,yiisoft,""
idaholab,moose,2515,1708,297,262,248,37,idaholab,""
OpenRCT2,OpenRCT2,3376,2302,294,520,260,37,OpenRCT2,openrct2.website
hazelcast,hazelcast,2433,1432,346,421,234,37,hazelcast,""
twbs,bootstrap,2389,1693,200,120,376,37,twbs,""
composer,composer,1699,1360,64,83,192,37,composer,""
cakephp,cakephp,2272,1685,171,172,244,37,CakePHP,cakephp.org
bcit-ci,CodeIgniter4+CodeIgniter,1378,841,155,247,135,37,bcit-ci,""
emberjs,ember.js,2035,1326,240,242,227,37,Ember.js,emberjs.com
numpy,numpy,1783,1364,154,106,159,37,numpy,""
pytest-dev,pytest,1504,1133,137,111,123,37,pytest-dev,""
apollostack,apollo-client+react-apollo,2503,1528,171,549,255,37,apollostack,""
HTBox,allReady,1099,662,152,142,143,36,HTBox,""
sympy,sympy,1768,1384,160,75,149,36,sympy,""
minetest,minetest,2167,1794,122,68,183,36,minetest,""
Microsoft,WinObjC,1967,1266,189,222,290,36,Microsoft Objective-C for Windows,github.com/Microsoft/WinObjC
opencart,opencart,1267,685,152,242,188,36,opencart,""
prebid,Prebid.js,1227,778,141,210,98,36,prebid,""
pantheon-systems,documentation,896,297,116,410,73,36,pantheon-systems,""
videojs,video.js,1379,1006,109,136,128,35,videojs,""
keystonejs,keystone,1926,961,94,728,143,35,keystonejs,""
SeleniumHQ,selenium,1877,1193,68,243,373,34,SeleniumHQ,""
hechoendrupal,DrupalConsole,1018,560,201,195,62,34,hechoendrupal,""
prometheus,prometheus,1925,1411,134,248,132,34,prometheus,""
zfsonlinux,zfs,2725,2234,207,103,181,34,zfsonlinux,""
airbnb,caravel,2235,1282,235,421,297,33,Superset,github.com/airbnb/superset
ember-cli,ember-cli,1366,965,100,196,105,33,ember-cli,""
cleanflight,cleanflight,1398,1048,72,188,90,33,cleanflight,""
matplotlib,matplotlib,2828,2228,245,107,248,32,matplotlib,""
dropwizard,dropwizard,770,527,62,99,82,32,dropwizard,""
RaRe-Technologies,gensim,725,496,86,86,57,32,RaRe-Technologies,""
google,flatbuffers,783,585,65,77,56,32,Google FlatBuffers,google.github.io/flatbuffers
babel,babel,1027,721,138,93,75,32,babel,""
kivy,kivy,990,610,111,171,98,32,kivy,""
pimcore,pimcore,1466,355,68,911,132,32,pimcore,""
wordpress-mobile,WordPress-iOS+WordPress-Android,3507,1412,329,1447,319,32,WordPress-mobile,make.wordpress.org/mobile
HabitRPG,habitrpg,2576,1753,175,513,135,32,HabitRPG,""
palantir,tslint,1173,835,101,114,123,32,TSLint,palantir.github.io/tslint
akka,akka,2407,1777,242,131,257,32,Akka,akka.io
druid-io,druid,1793,1269,235,161,128,32,druid-io,""
stylelint,stylelint,1989,1388,144,303,154,31,stylelint,""
RobotLocomotion,drake,6348,5466,348,304,230,31,RobotLocomotion,drake.mit.edu
AusDTO,gov-au-beta+gov-au-ui-kit,4200,1783,400,1819,198,31,Digital Transformation Office,dta.gov.au
DynamoDS,Dynamo,1360,687,309,270,94,31,DynamoDS,""
ngageoint,hootenanny+scale,2003,725,160,944,174,31,ngageoint,""
redfin,react-server,1061,380,216,390,75,31,redfin,""
Microsoft,HoloToolkit-Unity,912,673,88,67,84,31,Microsoft HoloToolkit,github.com/Microsoft/HoloToolkit
rails-api,active_model_serializers,923,762,60,44,57,31,rails-api,""
pixijs,pixi.js,2349,1730,147,262,210,31,pixijs,""
steemit,steem+steemit.com,3476,1788,169,978,541,31,steemit,""
PowerDNS,pdns,1442,752,243,246,201,31,PowerDNS,""
gatsbyjs,gatsby,794,527,60,127,80,31,gatsbyjs,""
ponylang,ponyc,1956,1228,176,441,111,31,ponylang,""
certbot,certbot,1900,1284,117,262,237,31,certbot,""
VSCodeVim,Vim,2278,1413,167,423,275,30,VSCodeVim,""
openlayers,ol3,2147,1535,185,261,166,30,openlayers,""
01org,cc-oci-runtime+ciao,2204,1248,295,383,278,30,01org,""
xcat2,xcat-core,2308,1472,289,326,221,30,xcat2,""
fabric8io,fabric8-maven-plugin+fabric8,2631,1106,301,1000,224,30,fabric8,fabric8.io
sphinx-doc,sphinx,1209,744,117,203,145,30,sphinx-doc,""
OpenRA,OpenRA,2889,2129,241,259,260,30,OpenRA,""
haskell,cabal,3007,2292,202,301,212,29,haskell,""
cBioPortal,cbioportal,1215,710,188,194,123,29,cBioPortal,""
micropython,micropython,2035,1437,110,339,149,29,micropython,""
intelsdi-x,snap,884,585,98,98,103,29,intelsdi-x,""
jruby,jruby,2437,1252,76,969,140,29,jruby,""
BVLC,caffe,1691,1222,100,70,299,29,BVLC,""
bolt,bolt,1918,1191,216,371,140,29,bolt,""
servo,servo,7385,5946,635,134,670,29,The Servo Browser Engine,servo.org
JabRef,jabref,3752,2390,409,763,190,29,JabRef,""
MinecraftForge,MinecraftForge,1505,1184,110,86,125,29,MinecraftForge,""
Flexget,Flexget,1550,640,77,738,95,29,Flexget,""
GoogleCloudPlatform,gcloud-node+google-cloud-node,1475,978,138,234,125,29,Google Cloud Platform,cloud.google.com
moment,moment,1003,748,78,46,131,29,moment,""
acquia,blt,995,339,207,382,67,28,acquia,""
NREL,EnergyPlus,1562,855,79,564,64,28,NREL,""
acemod,ACE3,3088,1884,285,735,184,28,ACE Mod,acemod.com
Financial-Times,polyfill-service,1121,531,92,436,62,28,Financial-Times,""
salesagility,SuiteCRM,2293,1351,335,257,350,28,salesagility,""
leancloud,docs,1045,486,187,267,105,28,leancloud,""
codenvy,codenvy,2957,1206,203,1196,352,28,codenvy,""
baidu,Paddle,624,316,82,153,73,28,baidu,""
realm,realm-java+realm-cocoa,5868,4071,237,995,565,28,Realm,realm.io
rust-lang,book,662,333,63,187,79,28,rust-lang,""
ros-planning,moveit,1721,1189,157,265,110,27,ros-planning,""
valor-software,ng2-bootstrap,1880,1411,88,122,259,27,valor-software,""
Microsoft,visualfsharp,1212,865,112,129,106,27,Microsoft F#,github.com/Microsoft/visualfsharp
ethcore,parity,4466,1360,571,2146,389,27,Parity,github.com/paritytech/parity
HippieStationCode,HippieStation13,3906,3397,185,134,190,27,HippieStationCode,github.com/HippieStationCode/HippieStation13
cake-build,cake,1317,891,115,193,118,27,cake-build,""
mapsme,omim,3486,2243,555,522,166,27,MAPS.ME,maps.me
openhab,openhab,985,770,77,56,82,27,openHAB,openhab.org
tflearn,tflearn,814,521,54,91,148,27,tflearn,""
grommet,grommet,1101,549,112,311,129,27,grommet,""
IgniteUI,ignite-ui,821,171,261,272,117,27,IgniteUI,""
ofiwg,libfabric,1164,749,182,178,55,27,ofiwg,""
containous,traefik,1116,766,88,138,124,26,containous,""
pymc-devs,pymc3,1306,892,116,210,88,26,pymc-devs,""
keybase,client,7738,3884,777,2663,414,26,Keybase,keybase.io
saltstack,salt,7060,5240,944,65,811,26,SaltStack,repo.saltstack.com
isocpp,CppCoreGuidelines,532,331,59,86,56,26,isocpp,""
rcbops,rpc-openstack,3484,2707,159,528,90,26,rcbops,""
libgdx,libgdx,577,362,65,59,91,26,libgdx,""
flutter,flutter,2996,1852,350,350,444,26,Flutter,flutter.io
fish-shell,fish-shell,2456,1966,65,232,193,26,fish-shell,""
racket,racket,660,405,61,138,56,26,racket,""
open-mpi,ompi,2291,1680,235,294,82,26,open-mpi,""
flatpak,flatpak,756,404,81,169,102,26,flatpak,""
Comcast,traffic_control,828,253,212,195,168,26,Comcast,""
adobe,brackets,1860,1443,66,163,188,26,adobe,""
LigaData,Kamanja,1738,531,91,1010,106,26,LigaData,""
rackerlabs,rackspace-how-to,1710,914,225,454,117,26,rackerlabs,""
openstreetmap,iD,1036,468,77,399,92,26,openstreetmap,""
scrapy,scrapy,1072,749,104,108,111,26,scrapy,""
oppia,oppia,1606,1244,150,114,98,25,oppia,""
librenms,librenms,2489,1525,468,184,312,25,librenms,""
zooniverse,Panoptes-Front-End,1859,1148,183,376,152,25,zooniverse,""
terasolunaorg,guideline,1436,441,221,676,98,25,terasolunaorg,""
getredash,redash,552,317,81,95,59,25,getredash,""
juju,docs,700,358,118,151,73,25,juju,""
numenta,nupic+nupic.core,1494,1083,152,118,141,25,numenta,""
bitcoin,bitcoin,3788,3208,404,60,116,25,bitcoin,""
akkadotnet,akka.net,1016,705,107,96,108,24,akkadotnet,""
RackHD,RackHD,1005,788,72,71,74,24,RackHD,""
openai,gym,639,351,69,153,66,24,openai,""
cerebris,jsonapi-resources,459,285,57,62,55,24,cerebris,""
getsentry,sentry,3592,1369,459,1596,168,24,getsentry,""
thaliproject,Thali_CordovaPlugin,3348,1510,184,1314,340,24,thaliproject,""
jupyter,jupyterlab,3159,2351,255,218,335,24,jupyter,""
notepad-plus-plus,notepad-plus-plus,1212,781,89,91,251,24,notepad-plus-plus,""
ESMCI,cime,1888,1144,205,340,199,24,ESMCI,""
top-think,framework,867,147,65,599,56,24,top-think,""
patternfly,patternfly,1002,668,113,165,56,24,patternfly,""
goadesign,goa,786,380,129,197,80,24,goadesign,""
LaraDock,laradock,785,457,77,113,138,24,LaraDock,""
apereo,cas,1571,642,90,755,84,24,apereo,""
mitmproxy,mitmproxy,1145,524,162,327,132,24,mitmproxy,""
lxc,lxc,780,574,91,53,62,24,lxc,""
OperationCode,operationcode,730,336,103,135,156,24,OperationCode,""
grafana,grafana,2378,1498,107,227,546,24,grafana,""
infinitered,ignite,1060,717,79,165,99,23,infinitered,""
open62541,open62541,1055,506,90,377,82,23,open62541,""
mockito,mockito,1558,990,99,376,93,23,mockito,""
CenterForOpenScience,SHARE,1023,228,147,553,95,23,CenterForOpenScience,""
flycheck,flycheck,1232,919,69,184,60,23,flycheck,""
mesonbuild,meson,998,615,116,162,105,23,mesonbuild,""
pouchdb,pouchdb,962,654,56,152,100,23,pouchdb,""
kubespray,kargo,902,408,142,282,70,23,kubespray,""
drush-ops,drush,791,437,51,228,75,23,drush-ops,""
scikit-image,scikit-image,1141,928,93,58,62,23,scikit-image,""
digitalocean,netbox,2035,1222,91,371,351,23,digitalocean,""
linuxmint,Cinnamon,2220,1822,68,67,263,23,linuxmint,""
idris-lang,Idris-dev,1196,833,136,146,81,23,idris-lang,""
phoenixframework,phoenix,635,419,85,51,80,23,phoenixframework,""
mbedmicro,mbed,1398,1091,148,85,74,23,mbedmicro,""
MyCATApache,Mycat-Server,611,346,108,91,66,23,MyCATApache,""
mautic,mautic,3358,2375,269,273,441,23,mautic,""
howdyai,botkit,457,278,52,50,77,23,howdyai,""
fusionpbx,fusionpbx,1216,448,126,527,115,23,fusionpbx,""
rethinkdb,horizon,1288,783,75,289,141,23,rethinkdb,""
SatelliteQE,robottelo,1553,1096,158,149,150,22,SatelliteQE,""
PCSX2,pcsx2,2927,2488,84,267,88,22,PCSX2,""
cuberite,cuberite,1268,935,82,186,65,22,cuberite,""
HaxeFoundation,haxe,1799,937,53,534,275,22,HaxeFoundation,""
nasa,openmct,1343,743,85,438,77,22,nasa,""
