org,repo,activity,comments,prs,commits,issues,authors
coredns,coredns/blog.coredns.io,53,11,16,26,0,2
fluent,fluent/fluent-logger-perl,50,10,14,23,3,5
kubernetes-incubator,kubernetes-incubator/reference-docs,46,0,30,15,1,2
linkerd,linkerd/tacho,46,9,12,22,3,2
fluent,fluent/fluent-logger-java,46,25,9,6,6,4
kubernetes,kubernetes/application-images,45,41,3,0,1,0
fluent,fluent/fluent-plugin-rewrite-tag-filter,43,27,5,7,4,5
grpc,grpc/grpc-docker-library,42,28,6,2,6,2
prometheus,prometheus/influxdb_exporter,41,14,12,7,8,5
opentracing,opentracing/contrib,39,10,6,19,4,4
prometheus,prometheus/busybox,37,11,7,10,9,6
fluent,fluent/fluentd-ui,36,16,2,8,10,2
kubernetes,kubernetes/kube-aggregator,34,17,9,7,1,3
prometheus,prometheus/promdash,34,12,13,7,2,4
coreos,coreos/prometheus,31,0,0,31,0,8
opentracing,opentracing/basictracer-javascript,28,19,4,2,3,2
prometheus,prometheus/nagios_plugins,28,12,6,8,2,2
fluent,fluent/fluent-bit-go,28,8,9,11,0,3
kubernetes-ui,kubernetes-ui/topology-graph,27,12,6,3,6,3
fluent,fluent/fluent-plugin-flume,25,4,12,9,0,3
fluent,fluent/fluent-plugin-multiprocess,25,11,4,7,3,3
kubernetes-incubator,kubernetes-incubator/application-images,25,16,3,2,4,2
kubernetes,kubernetes/sample-apiserver,24,10,7,7,0,3
fluent,fluent/fluent-plugin-windows-eventlog,23,6,7,10,0,2
linkerd,linkerd/linkerd-zipkin,23,5,10,6,2,2
grpc,grpc/grpc-common,23,7,5,0,11,0
coredns,coredns/deployment,22,7,8,4,3,2
fluent,fluent/fluent-bit-kubernetes-daemonset,22,0,0,21,1,1
kubernetes,kubernetes/md-check,21,5,10,5,1,4
coredns,coredns/grpc,21,6,6,3,6,2
kubernetes,kubernetes/kubedash,21,12,2,0,7,0
kubernetes,kubernetes/metrics,20,12,6,2,0,1
linkerd,linkerd/linkerd-viz,19,6,4,3,6,2
kubernetes,kubernetes/kubectl,19,7,2,1,9,1
kubernetes,kubernetes/rktlet,18,13,3,1,1,1
kubernetes,kubernetes/kubernetes-template-project,18,8,4,3,3,3
kubernetes-incubator,kubernetes-incubator/apiserver-builder,17,2,4,5,6,3
fluent,fluent/NLog.Targets.Fluentd,16,8,6,1,1,1
prometheus,prometheus/prom2json,16,10,3,3,0,2
fluent,fluent/fluentd-forwarder,16,5,3,2,6,2
kubernetes,kubernetes/horizontal-self-scaler,15,12,3,0,0,0
prometheus,prometheus/utils,14,8,2,1,3,1
grpc,grpc/grpc-proto,14,3,7,4,0,3
fluent,fluent/fluent-bit-docker-image,14,0,1,13,0,1
kubernetes-ui,kubernetes-ui/object-describer,13,2,5,4,2,1
coredns,coredns/coredns.io,13,0,2,7,4,1
kubernetes-client,kubernetes-client/community,11,1,0,8,2,1
fluent,fluent/fluent-logger-php,11,7,3,1,0,1
kubernetes,kubernetes/kubernetes-docs-cn,11,3,5,2,1,2
fabric8io,fabric8io/docker-fluentd,10,2,2,6,0,2
coredns,coredns/perf-tests,9,5,2,1,1,1
kubernetes,kubernetes/md-format,8,2,2,1,3,1
linkerd,linkerd/rustup-nightly-docker,7,2,2,3,0,1
