org,repo,activity,comments,prs,commits,issues,authors
hzuapps,hzuapps/android-labs,2140,592,807,562,179,231
Newawe,Newawe/newawe,2139,1705,61,284,89,25
chef,chef/chef,2138,1034,175,822,107,58
openlayers,openlayers/ol3,2135,1526,158,253,198,38
twbs,twbs/bootstrap,2127,1533,152,108,334,24
sympy,sympy/sympy,2120,1700,153,74,193,43
sandstorm-io,sandstorm-io/sandstorm,2115,1384,232,329,170,23
subutai-io,subutai-io/base,2107,269,416,1250,172,47
commercialhaskell,commercialhaskell/stack,2102,1462,73,284,283,40
halide,halide/Halide,2100,613,216,1211,60,39
strongloop,strongloop/loopback,2098,1514,56,288,240,25
flynn,flynn/flynn,2097,1237,154,470,236,15
raspberrypi,raspberrypi/linux,2095,1750,87,170,88,74
xitu,xitu/gold-miner,2091,1533,90,298,170,59
deeplearning4j,deeplearning4j/deeplearning4j,2090,856,188,777,269,44
silverstripe,silverstripe/silverstripe-framework,2087,1412,218,205,252,55
pymedusa,pymedusa/SickRage,2081,1043,202,676,160,21
supercollider,supercollider/supercollider,2072,1645,172,144,111,45
mozilla,mozilla/testpilot,2047,1388,154,196,309,23
airbnb,airbnb/caravel,2046,1103,246,446,251,54
rapid7,rapid7/metasploit-framework,2044,1451,216,259,118,74
woothemes,woothemes/woocommerce,2042,1051,201,302,488,46
bitpay,bitpay/copay,2030,1282,260,247,241,18
DevExpress,DevExpress/testcafe,2027,1677,141,127,82,20
citusdata,citusdata/citus,2017,1010,80,781,146,34
Flexget,Flexget/Flexget,2011,1084,78,627,222,38
scipy,scipy/scipy,2010,1540,166,144,160,67
opentx,opentx/opentx,2007,1025,106,720,156,21
Graylog2,Graylog2/graylog2-server,2005,1111,134,442,318,25
facebook,facebook/AsyncDisplayKit,1999,1297,273,317,112,54
Azure,Azure/azure-iot-sdks,1995,798,88,934,175,83
ReactiveX,ReactiveX/RxJava,1986,1485,171,189,141,29
fgpv-vpgf,fgpv-vpgf/fgpv-vpgf,1975,1397,177,157,244,24
elixir-lang,elixir-lang/elixir,1968,1315,307,210,136,42
twosigma,twosigma/beaker-notebook,1964,614,273,806,271,24
netty,netty/netty,1962,1532,137,126,167,15
