org,repo,activity,comments,prs,commits,issues,authors
pandas-dev,pandas-dev/pandas,4352,3337,388,105,522,41
dotnet,dotnet/roslyn-project-system,4341,3124,287,348,582,25
Microsoft,Microsoft/vsts-tasks,4294,2099,533,1313,349,74
Microsoft,Microsoft/BotBuilder,4242,3318,58,173,693,22
open-mpi,open-mpi/ompi,4236,2853,620,590,173,46
vuejs,vuejs/vue,4233,2988,160,286,799,58
yogstation13,yogstation13/yogstation,4223,3314,314,254,341,24
meteor,meteor/meteor,4222,3327,139,431,325,45
libretro,libretro/RetroArch,4220,1885,213,1793,329,54
ReactTraining,ReactTraining/react-router,4215,3095,195,370,555,83
twbs,twbs/bootstrap,4204,2757,348,383,716,58
OpenKore,OpenKore/openkore,4196,3920,63,102,111,11
netty,netty/netty,4196,2952,309,713,222,46
oppia,oppia/oppia,4164,3332,287,311,234,61
TesseractTeam,TesseractTeam/Tesseract,4154,2459,139,674,882,48
checkstyle,checkstyle/checkstyle,4131,3075,376,426,254,51
OpenRA,OpenRA/OpenRA,4123,3110,370,324,319,33
prestodb,prestodb/presto,4122,2668,624,501,329,63
coreos,coreos/etcd,4109,2898,405,448,358,71
mesosphere,mesosphere/marathon,4106,2114,126,1516,350,39
mapbox,mapbox/mapbox-gl-js,4106,2461,279,833,533,71
openhab,openhab/openhab2-addons,4100,3211,385,245,259,71
devtools-html,devtools-html/debugger.html,4086,2265,623,722,476,96
minishift,minishift/minishift,4082,3246,221,214,401,15
wordpress-mobile,wordpress-mobile/WordPress-Android,4054,1723,387,1492,452,19
mozilla,mozilla/thimble.mozilla.org,4042,3048,152,541,301,94
Kodi-vStream,Kodi-vStream/venom-xbmc-addons,4029,2563,304,988,174,14
GoogleChrome,GoogleChrome/lighthouse,4014,2166,367,1108,373,38
PowerShell,PowerShell/PowerShell,3997,3003,270,247,477,52
cockpit-project,cockpit-project/cockpit,3983,2536,635,488,324,22
facebookincubator,facebookincubator/create-react-app,3979,3194,266,108,411,47
bazelbuild,bazelbuild/bazel,3955,3080,68,250,557,47
vector-im,vector-im/riot-web,3948,2635,145,371,797,20
rapid7,rapid7/metasploit-framework,3929,2982,367,388,192,83
codenvy,codenvy/codenvy,3892,2155,209,1028,500,32
chapel-lang,chapel-lang/chapel,3878,2108,798,719,253,32
cakephp,cakephp/cakephp,3862,2580,388,628,266,82
bokeh,bokeh/bokeh,3831,2511,233,737,350,48
fabric8io,fabric8io/fabric8-ui,3827,1966,893,675,293,37
sympy,sympy/sympy,3773,2994,368,158,253,60
ant-design,ant-design/ant-design-mobile,3748,2306,126,852,464,24
mne-tools,mne-tools/mne-python,3726,3156,207,206,157,39
Minecolonies,Minecolonies/minecolonies,3692,2284,181,894,333,13
aspnet,aspnet/Docs,3688,1624,700,1185,179,138
fabric8io,fabric8io/fabric8-planner,3686,1941,605,538,602,38
corda,corda/corda,3665,1073,450,2076,66,44
dgraph-io,dgraph-io/dgraph,3661,1608,244,1587,222,18
wireapp,wireapp/wire-webapp,3660,390,447,2751,72,20
xitu,xitu/gold-miner,3659,2470,186,676,327,69
WhisperSystems,WhisperSystems/Signal-Android,3659,2810,130,219,500,28
AjuntamentdeBarcelona,AjuntamentdeBarcelona/decidim,3650,1066,402,1848,334,12
iNavFlight,iNavFlight/inav,3644,2488,362,530,264,33
Cloud-CV,Cloud-CV/EvalAI,3624,2298,431,656,239,32
minio,minio/minio,3624,2541,347,374,362,27
getsentry,getsentry/sentry,3612,1062,452,1935,163,48
frappe,frappe/erpnext,3607,1716,459,609,823,53
pfnet,pfnet/chainer,3597,1795,481,1188,133,68
vgstation-coders,vgstation-coders/vgstation13,3587,3011,228,172,176,35
GoogleCloudPlatform,GoogleCloudPlatform/google-cloud-eclipse,3584,1319,372,1543,350,11
palantir,palantir/blueprint,3581,1817,318,1107,339,41
babel,babel/babel,3577,2492,337,452,296,100
elastic,elastic/beats,3574,2053,688,637,196,55
koding,koding/koding,3564,702,516,2159,187,20
Ultimaker,Ultimaker/Cura,3556,2355,132,714,355,33
dotCMS,dotCMS/core,3555,1304,454,1162,635,31
python,python/mypy,3551,2482,301,406,362,34
opendatakit,opendatakit/collect,3545,2575,384,292,294,50
Project-OSRM,Project-OSRM/osrm-backend,3544,1647,225,1412,260,30
k9mail,k9mail/k-9,3543,2665,235,254,389,37
akeneo,akeneo/pim-community-dev,3542,540,643,2299,60,48
AnalyticalGraphicsInc,AnalyticalGraphicsInc/cesium,3541,2260,254,839,188,44
Microsoft,Microsoft/WinObjC,3517,1931,461,529,596,26
the-control-group,the-control-group/voyager,3509,2408,329,347,425,60
aspnet,aspnet/KestrelHttpServer,3508,1862,312,1109,225,22
crystal-lang,crystal-lang/crystal,3497,2660,185,279,373,51
Homebrew,Homebrew/brew,3481,2172,539,523,247,69
certbot,certbot/certbot,3473,2327,287,489,370,58
primefaces,primefaces/primeng,3456,1995,152,503,806,54
dealii,dealii/dealii,3451,2364,482,467,138,28
dotnet,dotnet/sdk,3449,2573,226,261,389,46
aspnet,aspnet/Mvc,3441,2127,196,737,381,36
openshift,openshift/openshift-docs,3439,1848,785,746,60,95
medic,medic/medic-webapp,3434,2456,105,541,332,12
NativeScript,NativeScript/NativeScript,3416,2160,274,532,450,31
prettier,prettier/prettier,3398,2388,316,285,409,66
camptocamp,camptocamp/ngeo,3392,637,221,2419,115,16
OfficeDev,OfficeDev/office-ui-fabric-react,3365,1777,475,630,483,80
hazelcast,hazelcast/hazelcast,3363,1689,592,737,345,34
pymc-devs,pymc-devs/pymc3,3360,2474,264,411,211,45
mautic,mautic/mautic,3358,2320,245,244,549,36
wordpress-mobile,wordpress-mobile/WordPress-iOS,3311,1373,415,1182,341,27
palantir,palantir/atlasdb,3307,1052,321,1771,163,53
mozilla,mozilla/addons-frontend,3303,1572,262,1106,363,85
mpv-player,mpv-player/mpv,3301,2556,96,318,331,35
Mashape,Mashape/kong,3301,2137,229,626,309,26
Yoast,Yoast/wordpress-seo,3295,2162,141,413,579,20
kontena,kontena/kontena,3291,1355,340,1301,295,20
realm,realm/realm-cocoa,3288,2280,117,587,304,20
streamlink,streamlink/streamlink,3286,2535,245,230,276,31
jupyterlab,jupyterlab/jupyterlab,3282,2021,359,574,328,22
WordPress,WordPress/gutenberg,3275,1854,350,862,209,23
eclipse,eclipse/smarthome,3275,2338,363,303,271,44
airbnb,airbnb/superset,3259,1793,366,647,453,40
SeleniumHQ,SeleniumHQ/selenium,3241,2130,110,464,537,47
lxc,lxc/lxd,3229,2503,204,235,287,20
gogits,gogits/gogs,3227,2234,83,507,403,60
sqlcollaborative,sqlcollaborative/dbatools,3205,1224,418,1343,220,48
openscholar,openscholar/openscholar,3194,1688,171,1128,207,17
hydroshare,hydroshare/hydroshare,3188,1757,155,1093,183,19
rcbops,rcbops/rpc-openstack,3176,1612,492,962,110,34
serverless,serverless/serverless,3164,2322,225,313,304,85
zfsonlinux,zfsonlinux/zfs,3154,2367,309,241,237,52
openwhisk,openwhisk/openwhisk,3153,2366,333,236,218,49
RPCS3,RPCS3/rpcs3,3147,2444,244,205,254,39
openwrt,openwrt/packages,3147,2033,455,536,123,114
Sylius,Sylius/Sylius,3142,1832,562,475,273,73
influxdata,influxdata/chronograf,3134,900,281,1570,383,23
kubernetes-incubator,kubernetes-incubator/service-catalog,3125,2249,366,303,207,30
PCSX2,PCSX2/pcsx2,3113,2715,93,201,104,23
alibaba,alibaba/weex,3101,1671,356,515,559,50
apinf,apinf/platform,3099,1685,144,893,377,14
astropy,astropy/astropy,3072,2565,176,161,170,50
jupyter,jupyter/notebook,3061,2450,155,153,303,43
lyft,lyft/envoy,3058,1261,427,1214,156,42
metasfresh,metasfresh/metasfresh,3050,634,245,1756,415,13
Cacti,Cacti/cacti,3047,1808,57,701,481,17
Theano,Theano/Theano,3042,2281,249,224,288,66
quicwg,quicwg/base-drafts,3038,1346,180,1301,211,24
reactioncommerce,reactioncommerce/reaction,3036,1134,227,1401,274,34
influxdata,influxdata/telegraf,3032,2126,233,366,307,69
LMMS,LMMS/lmms,2987,2466,137,188,196,29
pixijs,pixijs/pixi.js,2984,2106,203,413,262,38
styled-components,styled-components/styled-components,2975,2234,161,310,270,67
TauCetiStation,TauCetiStation/TauCetiClassic,2975,2228,269,267,211,30
containous,containous/traefik,2970,2140,205,322,303,64
resin-io,resin-io/etcher,2968,1738,256,845,129,11
fuse-box,fuse-box/fuse-box,2967,1874,133,663,297,43
pmmp,pmmp/PocketMine-MP,2963,1414,120,883,546,16
mapsme,mapsme/omim,2963,1397,721,737,108,23
hashicorp,hashicorp/vault,2961,1555,220,959,227,85
galaxyproject,galaxyproject/galaxy,2954,1935,392,395,232,37
KratosMultiphysics,KratosMultiphysics/Kratos,2950,1342,267,1229,112,44
zurb,zurb/foundation-sites,2948,2298,161,223,266,61
opencv,opencv/opencv,2940,2166,360,41,373,32
salesagility,salesagility/SuiteCRM,2940,2081,319,211,329,30
openaddresses,openaddresses/openaddresses,2933,1480,452,803,198,24
hyperapp,hyperapp/hyperapp,2933,2121,69,609,134,20
PaddlePaddle,PaddlePaddle/Paddle,2925,1607,439,413,466,45
spyder-ide,spyder-ide/spyder,2923,2076,164,312,371,20
kubernetes,kubernetes/charts,2922,2011,444,364,103,97
pingcap,pingcap/tikv,2921,1101,245,1471,104,22
tensorflow,tensorflow/models,2916,2095,240,226,355,89
ipfs,ipfs/go-ipfs,2910,1959,176,610,165,24
xonsh,xonsh/xonsh,2901,2123,174,446,158,20
kubernetes,kubernetes/helm,2897,2078,258,231,330,73
trilinos,trilinos/Trilinos,2896,1937,73,628,258,56
geneontology,geneontology/go-ontology,2891,1942,218,338,393,14
JMRI,JMRI/JMRI,2886,1739,507,489,151,35
Jackett,Jackett/Jackett,2886,2122,81,328,355,27
appcelerator,appcelerator/amp,2878,317,326,2071,164,13
inasafe,inasafe/inasafe,2876,1962,340,310,264,11
dotnet,dotnet/corert,2859,1171,636,913,139,69
citusdata,citusdata/citus,2854,1160,151,1389,154,23
vega,vega/vega-lite,2852,987,284,1311,270,18
Microsoft,Microsoft/UWPCommunityToolkit,2848,2183,154,287,224,52
Courseplay,Courseplay/courseplay,2846,2108,145,258,335,26
w3c,w3c/csswg-drafts,2840,1930,52,424,434,35
kubernetes,kubernetes/ingress,2824,1946,337,281,260,69
inverse-inc,inverse-inc/packetfence,2822,941,114,1526,241,16
freeorion,freeorion/freeorion,2820,1844,192,621,163,18
mozilla,mozilla/testpilot,2808,1120,178,1250,260,101
zeit,zeit/hyper,2807,2228,90,126,363,34
Particular,Particular/docs.particular.net,2803,999,247,1480,77,49
odota,odota/ui,2801,422,142,2148,89,21
SpaceVim,SpaceVim/SpaceVim,2800,1438,212,869,281,35
YetiForceCompany,YetiForceCompany/YetiForceCRM,2794,1131,153,1136,374,15
africanmathsinitiative,africanmathsinitiative/Instat,2793,1801,423,417,152,14
webpack,webpack/webpack.js.org,2793,1268,477,929,119,239
azavea,azavea/raster-foundry,2790,681,273,1364,472,18
oss-gate,oss-gate/workshop,2786,2371,129,199,87,96
fossasia,fossasia/open-event-orga-server,2780,1531,382,459,408,45
google,google/ExoPlayer,2771,2148,62,127,434,38
convox,convox/rack,2761,1116,309,971,365,15
Semantic-Org,Semantic-Org/Semantic-UI-React,2754,1705,219,546,284,52
ponylang,ponylang/ponyc,2754,1783,240,587,144,34
OpenRCT2,OpenRCT2/OpenRCT2,2744,1901,245,380,218,46
shadowsocks,shadowsocks/shadowsocks-libev,2743,1997,128,278,340,50
apereo,apereo/cas,2741,1155,118,1260,208,26
projecthydra-labs,projecthydra-labs/hyrax,2735,1156,387,913,279,33
scipy,scipy/scipy,2728,2080,229,194,225,75
domoticz,domoticz/domoticz,2724,1538,317,759,110,69
home-assistant,home-assistant/home-assistant.github.io,2720,772,797,1096,55,325
GoogleCloudPlatform,GoogleCloudPlatform/google-cloud-python,2705,1913,232,338,222,27
neo4j,neo4j/neo4j,2705,1026,619,956,104,34
claroline,claroline/Distribution,2704,416,364,1753,171,31
mavlink,mavlink/qgroundcontrol,2704,1584,419,417,284,26
xcat2,xcat2/xcat-core,2698,1762,322,301,313,29
w3c,w3c/wcag21,2694,2066,68,394,166,19
docker,docker/compose,2690,2040,158,155,337,42
whatwg,whatwg/html,2674,2088,126,264,196,27
ember-cli,ember-cli/ember-cli,2668,1736,211,587,134,47
mlr-org,mlr-org/mlr,2665,1328,142,942,253,36
elixir-lang,elixir-lang/elixir,2664,1725,305,485,149,86
neomutt,neomutt/neomutt,2654,1628,135,731,160,36
druid-io,druid-io/druid,2640,1915,329,231,165,42
dotnet,dotnet/docs,2639,1290,525,615,209,124
influxdata,influxdata/influxdb,2633,1522,223,539,349,30
borgbackup,borgbackup/borg,2632,1934,215,217,266,21
elastic,elastic/logstash,2628,1875,248,205,300,18
broadinstitute,broadinstitute/cromwell,2622,1324,161,881,256,20
Cadasta,Cadasta/cadasta-platform,2617,1504,218,690,205,30
ethereum,ethereum/solidity,2614,1194,222,757,441,28
akka,akka/akka-http,2613,2068,173,161,211,41
VOREStation,VOREStation/VOREStation,2612,1167,437,771,237,26
piwik,piwik/piwik,2609,1487,217,580,325,26
hashicorp,hashicorp/nomad,2607,1314,230,832,231,59
wix,wix/react-native-navigation,2604,1328,197,719,360,46
mamedev,mamedev/mame,2603,642,310,1599,52,99
ONSdigital,ONSdigital/eq-survey-runner,2601,476,218,1822,85,20
simulationcraft,simulationcraft/simc,2599,813,124,1345,317,48
glpi-project,glpi-project/glpi,2594,1379,297,555,363,26
FStarLang,FStarLang/FStar,2580,671,59,1677,173,37
supercollider,supercollider/supercollider,2579,2171,149,138,121,20
palantir,palantir/tslint,2565,1434,379,437,315,51
cocos2d,cocos2d/cocos2d-x,2563,1638,339,318,268,41
fish-shell,fish-shell/fish-shell,2560,1928,100,311,221,38
BVLC,BVLC/caffe,2560,1956,142,157,305,61
syncthing,syncthing/syncthing,2557,1795,98,492,172,28
dotnet,dotnet/core-setup,2556,1735,280,381,160,37
google,google/protobuf,2549,1870,228,192,259,55
IdentityServer,IdentityServer/IdentityServer4,2545,1677,83,394,391,40
dotnet,dotnet/docfx,2538,998,442,1029,69,24
purescript,purescript/purescript,2530,1868,194,312,156,27
HabitRPG,HabitRPG/habitica,2523,1615,220,541,147,40
chef,chef/chef,2520,1152,279,948,141,58
pachyderm,pachyderm/pachyderm,2520,867,240,1141,272,22
Microsoft,Microsoft/msbuild,2514,1794,202,194,324,30
infernojs,infernojs/inferno,2509,1578,134,578,219,69
phpmyadmin,phpmyadmin/phpmyadmin,2503,1552,108,577,266,72
ParsePlatform,ParsePlatform/parse-server,2499,1848,68,342,241,30
01org,01org/cc-oci-runtime,2498,1873,194,305,126,17
