repo,project
cip-project/cip-kernelci,Civil Infrastructure Platform
cip-project/kernelci-backend,Civil Infrastructure Platform
cip-project/kernelci-frontend,Civil Infrastructure Platform
cip-project/linux-cip,Civil Infrastructure Platform
cncf/ambassadors,CNCF
cncf/artwork,CNCF
cncf/cla,CNCF
cncf/cluster,CNCF
cncf/cross-cloud,CNCF
cncf/curriculum,CNCF
cncf/demo,CNCF
cncf/draft-wg-serverless,CNCF
cncf/foundation,CNCF
cncf/gha2db,CNCF
cncf/gha2pg,CNCF
cncf/gitdm,CNCF
cncf/k8s-conformance,CNCF
cncf/landscape,CNCF
cncf/presentations,CNCF
cncf/soc,CNCF
cncf/toc,CNCF
cncf/velocity,CNCF
cncf/wg-ci,CNCF
cncf/wg-networking,CNCF
cncf/wg-serverless,CNCF
cncf/wg-storage,CNCF
cocos2d/cocos2d-js,Cocos2d-js
cocos2d/cocos2d-x,Cocos2d-x
codeaurora-unofficial/device-qcom-sepolicy,Code Aurora
codeaurora-unofficial/kernel-msm,Code Aurora
codeaurora-unofficial/kernel-msm-3.10,Code Aurora
codeaurora-unofficial/linux-msm,Code Aurora
codeaurora-unofficial/packages-providers-ContactsProvider,Code Aurora
codeaurora-unofficial/packages-providers-TelephonyProvider,Code Aurora
codeaurora-unofficial/packages-services-Mms,Code Aurora
codeaurora-unofficial/packages-services-Telecomm,Code Aurora
codeaurora-unofficial/packages-services-Telephony,Code Aurora
codeaurora-unofficial/platform-art,Code Aurora
codeaurora-unofficial/platform-bionic,Code Aurora
codeaurora-unofficial/platform-build,Code Aurora
codeaurora-unofficial/platform-development,Code Aurora
codeaurora-unofficial/platform-external-bluetooth-bluedroid,Code Aurora
codeaurora-unofficial/platform-external-dhcpcd,Code Aurora
codeaurora-unofficial/platform-external-e2fsprogs,Code Aurora
codeaurora-unofficial/platform-external-f2fs-tools,Code Aurora
codeaurora-unofficial/platform-external-flac,Code Aurora
codeaurora-unofficial/platform-external-icu,Code Aurora
codeaurora-unofficial/platform-external-libnfc-nci,Code Aurora
codeaurora-unofficial/platform-external-libpng,Code Aurora
codeaurora-unofficial/platform-external-libselinux,Code Aurora
codeaurora-unofficial/platform-external-libxml2,Code Aurora
codeaurora-unofficial/platform-external-openssl,Code Aurora
codeaurora-unofficial/platform-external-sepolicy,Code Aurora
codeaurora-unofficial/platform-external-skia,Code Aurora
codeaurora-unofficial/platform-external-tinyalsa,Code Aurora
codeaurora-unofficial/platform-external-tinycompress,Code Aurora
codeaurora-unofficial/platform-external-wpa_supplicant_8,Code Aurora
codeaurora-unofficial/platform-frameworks-av,Code Aurora
codeaurora-unofficial/platform-frameworks-base,Code Aurora
codeaurora-unofficial/platform-frameworks-ex,Code Aurora
codeaurora-unofficial/platform-frameworks-native,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-bluetooth,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-chips,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-net-ims,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-net-wifi,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-telephony,Code Aurora
codeaurora-unofficial/platform-frameworks-wilhelm,Code Aurora
codeaurora-unofficial/platform-hardware-broadcom-libbt,Code Aurora
codeaurora-unofficial/platform-hardware-intel-audio_media,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libmix,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libstagefrighthw,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libva,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libwsbm,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-omx-components,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-utils,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-wrs_omxil_core,Code Aurora
codeaurora-unofficial/platform-hardware-intel-img-hwcomposer,Code Aurora
codeaurora-unofficial/platform-hardware-intel-img-psb_headers,Code Aurora
codeaurora-unofficial/platform-hardware-intel-img-psb_video,Code Aurora
codeaurora-unofficial/platform-hardware-libhardware,Code Aurora
codeaurora-unofficial/platform-hardware-libhardware_legacy,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-audio,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-bt,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-display,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-gps,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-keymaster,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-media,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-wlan,Code Aurora
codeaurora-unofficial/platform-hardware-ril,Code Aurora
codeaurora-unofficial/platform-libcore,Code Aurora
codeaurora-unofficial/platform-libnativehelper,Code Aurora
codeaurora-unofficial/platform-packages-apps-BasicSmsReceiver,Code Aurora
codeaurora-unofficial/platform-packages-apps-Bluetooth,Code Aurora
codeaurora-unofficial/platform-packages-apps-Browser,Code Aurora
codeaurora-unofficial/platform-packages-apps-Calculator,Code Aurora
codeaurora-unofficial/platform-packages-apps-Calendar,Code Aurora
codeaurora-unofficial/platform-packages-apps-Camera2,Code Aurora
codeaurora-unofficial/platform-packages-apps-CellBroadcastReceiver,Code Aurora
codeaurora-unofficial/platform-packages-apps-CertInstaller,Code Aurora
codeaurora-unofficial/platform-packages-apps-Contacts,Code Aurora
codeaurora-unofficial/platform-packages-apps-ContactsCommon,Code Aurora
codeaurora-unofficial/platform-packages-apps-DeskClock,Code Aurora
codeaurora-unofficial/platform-packages-apps-Dialer,Code Aurora
codeaurora-unofficial/platform-packages-apps-Email,Code Aurora
codeaurora-unofficial/platform-packages-apps-Gallery2,Code Aurora
codeaurora-unofficial/platform-packages-apps-HTMLViewer,Code Aurora
codeaurora-unofficial/platform-packages-apps-InCallUI,Code Aurora
codeaurora-unofficial/platform-packages-apps-KeyChain,Code Aurora
codeaurora-unofficial/platform-packages-apps-Launcher3,Code Aurora
codeaurora-unofficial/platform-packages-apps-ManagedProvisioning,Code Aurora
codeaurora-unofficial/platform-packages-apps-Mms,Code Aurora
codeaurora-unofficial/platform-packages-apps-MusicFX,Code Aurora
codeaurora-unofficial/platform-packages-apps-Nfc,Code Aurora
codeaurora-unofficial/platform-packages-apps-OneTimeInitializer,Code Aurora
codeaurora-unofficial/platform-packages-apps-PackageInstaller,Code Aurora
codeaurora-unofficial/platform-packages-apps-PhoneCommon,Code Aurora
codeaurora-unofficial/platform-packages-apps-Provision,Code Aurora
codeaurora-unofficial/platform-packages-apps-Settings,Code Aurora
codeaurora-unofficial/platform-packages-apps-SoundRecorder,Code Aurora
codeaurora-unofficial/platform-packages-apps-SpareParts,Code Aurora
codeaurora-unofficial/platform-packages-apps-Stk,Code Aurora
codeaurora-unofficial/platform-packages-apps-Tag,Code Aurora
codeaurora-unofficial/platform-packages-apps-Terminal,Code Aurora
codeaurora-unofficial/platform-packages-apps-TvSettings,Code Aurora
codeaurora-unofficial/platform-packages-apps-UnifiedEmail,Code Aurora
codeaurora-unofficial/platform-packages-inputmethods-LatinIME,Code Aurora
codeaurora-unofficial/platform-system-core,Code Aurora
codeaurora-unofficial/platform-system-extras,Code Aurora
codeaurora-unofficial/platform-system-media,Code Aurora
codeaurora-unofficial/platform-system-netd,Code Aurora
codeaurora-unofficial/platform-system-vold,Code Aurora
codeaurora-unofficial/platform-vendor-qcom-opensource-wlan-fw-api,Code Aurora
codeaurora-unofficial/platform-vendor-qcom-opensource-wlan-qca-wifi-host-cmn,Code Aurora
codeaurora-unofficial/platform-vendor-qcom-opensource-wlan-qcacld-3.0,Code Aurora
coredns/coredns-grpc,CoreDNS
coredns/grpc,CoreDNS
coreinfrastructure/best-practices-badge,Core Infrastructure
coreinfrastructure/cii-best-practices-badge,Core Infrastructure
coreos/coreos-kubernetes,CoreOS
coreos/kube-prometheus,CoreOS
coreos/kubernetes,CoreOS
coreos/prometheus,CoreOS
coreos/prometheus-operator,CoreOS
coreos/rkt,rkt
docker/compose,Docker
docker/containerd,containerd
docker/distribution,Docker
docker/docker,Docker
docker/docker-birthday-3,Docker
docker/docker-py,Docker
docker/docker.github.io,Docker
docker/labs,Docker
docker/libnetwork,Docker
docker/notary,Notary
docker/swarm,Docker
docker/swarmkit,Docker
dotnet/cli,dotnet
dotnet/eShopOnContainers,Microsoft eShopOnContainers
dotnet/orleans,Microsoft Orleans
dotnet/roslyn,VS Code
dotnet/roslyn-project-system,VS Code
duckduckgo/zeroclickinfo-fathead,DuckDuckHack
duckduckgo/zeroclickinfo-goodies,DuckDuckHack
eclipse/che,Eclipse Che
eclipse/che-dockerfiles,Eclipse Che
eclipse/che-docs,Eclipse Che
eclipse/eclipse-collections,Eclipse Collections Project
