name,project
kubernetes-graveyard,Kubernetes
kubernetes-helm,Helm
kubernetes-incubator,Kubernetes
kubernetes-incubator-retired,Kubernetes
kubernetes-providers,Kubernetes
kubernetes-retired,Kubernetes
kubernetes-security,Kubernetes
kubernetes-sidecars,Kubernetes
kubernetes-sig-testing,Kubernetes
kubernetes-sigs,Kubernetes
kubernetes-test,Kubernetes
kubernetes-tools,Kubernetes
kubevirt,KubeVirt
laravel,Laravel
letsencrypt,Let's Encrypt
linkedin,LinkedIn
linkerd,Linkerd
linux-sunxi,Linux sunxi
longhorn,Longhorn
lyft,Envoy
magento,Magento
mantidproject,Mantid
mapbox,Mapbox
mapsme,MAPS.ME
mattermost,Mattermost
melpa,MELPA
mesos,Apache Mesos
mesosphere,Apache Mesos
meteor,Meteor
mininet,Mininet
mitodl,MIT Office of Digital Learning
mozilla,Mozilla
mozilla-services,Mozilla Services
nats-io,NATS
networkservicemesh,Network Service Mesh
neveragaindottech,neveragain.tech
nextcloud,Nextcloud
nodejs,Node.js
nylas,Nylas
odoo,Odoo
odpi,ODPi
open-faas,OpenFaaS
open-policy-agent,OPA
open-telemetry,OpenTelemetry
openbmp,OpenBMP
opencontainers,OCI
opencord,CORD
openebs,OpenEBS
openeventing,CloudEvents
openfaas,OpenFaaS
openhab,openHAB
openmainframeproject,Open Mainframe
opennetworkinglab,Open Networking Laboratory
opensds,OpenSDS
opensecuritycontroller,Open Security Controller
openshift,OpenShift
openssl,OpenSSL
openstack-ansible,OpenStack Ansible
openstack-charmers,OpenStack Charmers
openstack-dev,OpenStack Dev
openstack-hyper-v,OpenStack Hyper-v
openstack-infra,OpenStack Infra
openstack-kr,OpenStack Korean
openstack-packages,OpenStack Packages
openstack-snaps,OpenStack Snaps
openstacknetsdk,OpenStack Net SDK
openswitch,OpenSwitch
opentracing,OpenTracing
openwrt,OpenWrt
osmandapp,Osmand
owncloud,ownCloud
p4lang,P4 Language
pingcap,PingCAP
pivotal-cf,Pivotal Cloud Foundry
prometheus,Prometheus
pytorch,pytorch
rackt,React
rails,Ruby on Rails
rapid7,Rapid7
react-native-community,React
reactjs,React
rethinkdb,RethinkDB
riff,Pivotal Riff
rook,Rook
rust-lang,Rust
rust-lang-nursery,Rust
sakaiproject,Sakai
saltstack,SaltStack
seata,Seata
sensu,Sensu
sequelize,Sequelize
serverless,Serverless Framework
servo,The Servo Browser Engine
skillcrush,Skillcrush
spiffe,SPIFFE
spinnaker,Spinnaker
spotify,Spotify
spree,Spree
strimzi,Strimzi
swagger-api,Swagger
symfony,Symfony
tektoncd,Tekton
telepresenceio,Telepresence
telerik,Telerik
tensorflow,TensorFlow
terraform-providers,Terraform
tgstation,SS13
thanos-io,Thanos
thephpleague,League of Extraordinary Packages
theupdateframework,TUF
tikv,TiKV
tungstenfabric,Tungsten Fabric
twitter,Twitter
uber,Uber Open Source
vgstation-coders,vgstation13
virtual-kubelet,Virtual Kubelet
vitessio,Vitess
vmware,VMware
voidlinux,The Void distribution
voxpupuli,Vox Populi
w3c,W3C
wireapp,Wire Swiss GmbH
wix,WiX
wordpress-mobile,WordPress-mobile
wso2,WSO2
xbmc,Team Kodi
xen-project,xen
yarnpkg,yarn
yogstation13,Yogstation13
zalando,Zalando
zendframework,Zend Framework
zephyrproject-rtos,Zephyr
# cloudfoundry,Cloud Foundry
# cloudfoundry-attic,Cloud Foundry Attic
# cloudfoundry-community,Cloud Foundry Community
# cloudfoundry-incubator,Cloud Foundry Incubator
# cloudfoundry-samples,Cloud Foundry Samples
# kubernetes-cluster-automation,Kubernetes
# kubernetes-contrib,Kubernetes
# kubernetes-ui,Kubernetes
# openstack,=SKIP
